Formula_label,Iter,Lipid_Formula_label,Opt_Method,Ionizable_Lipid,Helper_lipid,SORT_lipid,IL_NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),SORT_of_total,RLU_HEPG2,on_target,Unnamed: 14
223,0,221,,SM-102,DSPC,18PG,7.0,79.83870968,0.0,1.0,0.8,3.441099,0.94619241,
224,0,222,,SM-102,DSPC,18PG,4.0,79.83870968,0.0,1.0,0.8,2.892063,1.56966241,
225,0,223,,SM-102,DSPC,18PG,10.0,79.83870968,0.0,0.2,0.8,3.651694,1.22894741,
226,0,224,,SM-102,DSPC,18PG,7.0,79.83870968,0.0,0.2,0.8,4.19545,0.92021541,
227,0,225,,SM-102,DSPC,18PG,4.0,79.83870968,0.0,0.2,0.8,3.119579,1.06536941,
228,0,226,,SM-102,DSPC,18PG,10.0,49.74874372,0.0,5.0,0.5,8.415572,4.40022641,
229,0,227,,SM-102,DSPC,18PG,7.0,49.74874372,0.0,5.0,0.5,7.494953,4.38055341,
230,0,228,,SM-102,DSPC,18PG,4.0,49.74874372,0.0,5.0,0.5,7.227654,4.62581641,
231,0,229,,SM-102,DSPC,18PG,10.0,49.74874372,0.0,1.0,0.5,9.800319,4.87219941,
232,0,230,,SM-102,DSPC,18PG,7.0,49.74874372,0.0,1.0,0.5,9.061809,5.16002641,
233,0,231,,SM-102,DSPC,18PG,4.0,49.74874372,0.0,1.0,0.5,7.578988,4.37828041,
234,0,232,,SM-102,DSPC,18PG,10.0,49.74874372,0.0,0.2,0.5,8.885075,2.98731041,
235,0,233,,SM-102,DSPC,18PG,7.0,49.74874372,0.0,0.2,0.5,8.675597,2.13661241,
236,0,234,,SM-102,DSPC,18PG,4.0,49.74874372,0.0,0.2,0.5,7.833985,-0.00348459,
237,0,235,,SM-102,DSPC,18PG,10.0,19.83967936,0.0,5.0,0.2,5.941625,1.42767441,
238,0,236,,SM-102,DSPC,18PG,7.0,19.83967936,0.0,5.0,0.2,6.723823,2.02333341,
239,0,237,,SM-102,DSPC,18PG,4.0,19.83967936,0.0,5.0,0.2,7.111846,2.99316141,
240,0,238,,SM-102,DSPC,18PG,10.0,19.83967936,0.0,1.0,0.2,2.768523,4.52183641,
