Formula_label,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_RAMOS
113,DSPC,0.5081726217100141,0.6210661852169035,0.49616166197013,0.11973678841735183,3.711307124
114,DSPC,0.44035523719046876,0.7066200577326284,0.4340901642445956,0.09994027661046978,3.325878481
115,DSPC,0.5214275391683539,0.7532658633316599,0.3737154498611167,0.11748047072502285,3.136082102
116,DSPC,0.4753850707054975,0.7793675003691344,0.4754097632945533,0.12354314373114084,2.644217527
117,DSPC,0.4171672125837098,0.6400768586658004,0.5721553474095246,0.11280707153337209,3.683179178
118,DSPC,0.39049982494938495,0.6093687186604849,0.5895882943520792,0.11299732425324585,3.633609523
119,DSPC,0.46228676919482947,0.6823874327437027,0.49573953665311377,0.12942011912078177,1.637209859
120,DSPC,0.4138572890515496,0.7197480988099104,0.38960284428968234,0.10926493297898845,1.19624612
121,DSPC,0.40329550615168974,0.7025822871570742,0.3365561483032084,0.1166150475043601,2.365440919
122,DSPC,0.4748728360068525,0.640837090629891,0.4444810949639708,0.12856631686183317,2.38846989
123,DSPC,0.48100984239215083,0.6684524173877094,0.5827728891751539,0.12372683354095729,1.716272915
124,DSPC,0.40251719716555057,0.7415619034048962,0.3835216736443783,0.12899876510810288,1.407844185
125,DSPC,0.42197757997196694,0.7271756301863391,0.3653977205023952,0.11317991838994546,1.9236506
126,DSPC,0.3867200400249182,0.7544194271033281,0.4693492419789863,0.09935486208232983,1.598871891
127,DSPC,0.4284095243731506,0.7688155581312938,0.5748146463507909,0.10718682529136561,1.784277414
128,DSPC,0.3774903662980844,0.6218153063815964,0.33334983334004264,0.13081634393599645,3.919835688
129,DSPC,0.3863595605045943,0.6520526004783982,0.3288573332394026,0.13269913002796002,2.717238967
130,DSPC,0.3805919847375798,0.6442306998789239,0.33654102310696027,0.13089869163690723,2.380454984
131,DSPC,0.37776301635259313,0.603723628001063,0.33146506843524814,0.13079373651136394,2.928059003
132,DSPC,0.3782037075221929,0.6375229034639577,0.32820475866511006,0.13112663676881764,2.477254113
133,DSPC,0.38336552219280484,0.660499204293772,0.3355808816070206,0.13167754765661768,2.152775548
134,DSPC,0.37859770378445723,0.6136395617635768,0.3257941413389155,0.1323406965368325,3.069807582
135,DSPC,0.3804266771530914,0.6128904707202552,0.3360710810756411,0.13141249195803228,3.022752493
136,DSPC,0.3808338263510358,0.593629535924165,0.33408837627309684,0.13032378822356946,3.172768158
137,DSPC,0.1787883507241863,0.2506718247054307,0.5004428163117426,0.24051158541649365,7.558527772
138,DSPC,0.1630587135960132,0.14573428225496854,0.4967795177327805,0.4070536777122609,4.236856792
139,DSPC,0.17551783211337801,0.19048814340135256,0.470794251439153,0.22600559200509374,6.599585191
140,DSPC,0.24046098738514254,0.24547441159968109,0.47220321243106156,0.30639758602552397,4.406362174
141,DSPC,0.0367543996262264,0.17204618610282613,0.47659111952014815,0.3114912936356338,3.605974048
142,DSPC,0.09048434823236262,0.0038537636948882126,0.4911638017793164,0.2009523018575423,2.077516469
143,DSPC,0.059025073976016196,0.10983964799338508,0.49446479610321636,0.24568834260720315,4.860471193
144,DSPC,0.2015262420183772,0.05943064701887013,0.46203856527514997,0.16288791074938405,3.433445913
145,DSPC,0.2220837875720293,0.2595015208339486,0.4590998752063121,0.25493452924729404,7.106721984
146,DSPC,0.20339510979598197,0.029412633257537735,0.4606899883257518,0.3219278575976525,4.11236273
147,DSPC,0.09126304313969791,0.19401706877713137,0.5570226641439555,0.10184646900866484,7.599580053
148,DSPC,0.0932876498987697,0.08862179960428784,0.2754720019322893,0.10395039171718849,7.646217159
149,DSPC,0.0950007786949073,0.2618344505802793,0.3078378487178455,0.10314757910472552,7.613034651
150,DSPC,0.08456626693661429,0.2250391282520745,0.26814540477436494,0.033081416272181155,4.930603529
151,DSPC,0.09313191091730255,0.07657325104095913,0.5392496276317378,0.10184646900866484,5.074962272
152,DSPC,0.09032860925089548,0.25982635915305796,0.45964333158890547,0.10483625391025109,6.81817798
153,DSPC,0.0842547889736801,0.11924519386941501,0.26750130832092106,0.03294300030451513,3.188455888
154,DSPC,0.0950007786949073,0.1713522133301834,0.31458073346483634,0.09952108075187553,5.07931078
155,DSPC,0.09157452110263198,0.26427073797359957,0.5560162634354494,0.10040694294493813,5.725042181
156,DSPC,0.0900171312879614,0.1367716977231787,0.5466567368463426,0.103479777427124,5.789284449
157,DSPC,0.3770440741317552,0.590615125653368,0.3256444990137273,0.09827533704288127,4.185923274
158,DSPC,0.5107871315994393,0.6084495071316777,0.570990603639145,0.1302128069374083,3.868305367
159,DSPC,0.3774903662980844,0.6218153063815964,0.33334983334004264,0.13081634393599645,4.838106459
160,DSPC,0.3770440741317552,0.590615125653368,0.3256444990137273,0.09827533704288127,2.444881394
161,DSPC,0.1428126460052952,0.8681304078197444,0.49112354575097616,0.18536666389834733,4.05200236
162,DSPC,0.03535274879302286,0.6446711750287926,0.726399903385532,0.1312183373473964,3.580843083
163,DSPC,0.12521414109951723,0.7841892330862593,0.49989935992914936,0.1996235085679484,3.042164771
164,DSPC,0.18719825572340754,1.0,0.748339438830965,0.22138249868504828,2.118030098
165,DSPC,0.06774645693817172,0.5971414227918377,0.5418662694738536,0.20989397336876783,4.61372049
166,DSPC,0.22161657062762807,0.9783687210229454,0.6938126484441044,0.1756221797746588,2.055375619
167,DSPC,0.2460675907179567,0.8562147476596876,0.537458234370597,0.21415718517288154,2.317232364
168,DSPC,0.24201837719981312,0.7781354280483125,0.6627953786079466,0.2079838330149766,3.282774363
169,DSPC,0.006852515184550767,0.19533118743171013,0.6584275995330301,0.19137391689505304,5.844507966
170,DSPC,0.06198411462389031,0.20946165431296693,0.7321162594098465,0.18921462779946296,6.221409563
171,DSPC,0.20323937081451493,0.39828130998434863,0.3778028259731894,0.23215126096946545,5.839963621
172,DSPC,0.04485282666251367,0.0581608244987154,0.019826093957570144,1.0000000000000002,1.696416719
173,DSPC,0.04578726055131599,0.043410211735522564,0.9999999999999999,0.8724081610054536,3.97828414
174,DSPC,0.09079582619529669,0.06800933171898532,0.9914657219918682,0.29028596738919804,5.986142188
175,DSPC,0.10014016508332046,0.039113486696394306,0.010466567368463428,0.2748110622041359,2.807543064
176,DSPC,0.11586980221149357,0.2517201665534654,0.0007849925526347574,0.10206793455693049,3.359208682
177,DSPC,0.0,0.2592800401618286,0.00857453403647196,0.2287185449713479,2.12622986
178,DSPC,0.20168198099984425,0.06800933171898532,0.9847429652590475,0.23298175677546162,5.593162693
179,DSPC,0.09064008721382955,0.254658476803591,0.0,0.287047033745813,3.555801156
180,DSPC,0.2005918081295749,0.2522517201665535,0.3778028259731894,0.23215126096946545,4.279168452
181,DSPC,0.3770440741317552,0.590615125653368,0.3256444990137273,0.09827533704288127,4.239124788
182,DSPC,0.5107871315994393,0.6084495071316777,0.570990603639145,0.1302128069374083,3.379408561
183,DSPC,0.3774903662980844,0.6218153063815964,0.33334983334004264,0.13081634393599645,4.18757939
