Formula_label,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_HEPG2
67,DSPC,0.01131877432461062,0.4407118773767609,0.10723249689277889,0.13287932895938875,7.107186362
68,DSPC,0.17263147253758854,0.4407118773767609,0.10723249689277889,0.022146554826564795,9.044138312
69,DSPC,0.09197512343109958,0.4407118773767609,0.10723249689277889,0.022146554826564795,8.559219642
70,DSPC,0.01131877432461062,0.4407118773767609,0.10723249689277889,0.022146554826564795,8.210381632
71,DSPC,0.17263147253758854,0.4407118773767609,0.10723249689277889,0.0,8.898004552
72,DSPC,0.09197512343109958,0.4407118773767609,0.10723249689277889,0.0,8.787689262
73,DSPC,0.01131877432461062,0.4407118773767609,0.10723249689277889,0.0,8.522323562
74,DSPC,0.17263147253758854,0.0,0.10723249689277889,0.13287932895938875,5.820524702
75,DSPC,0.09197512343109958,0.0,0.10723249689277889,0.13287932895938875,6.359551262
76,DSPC,0.01131877432461062,0.0,0.10723249689277889,0.13287932895938875,6.655457362
77,DSPC,0.17263147253758854,0.0,0.10723249689277889,0.022146554826564795,7.844900792
78,DSPC,0.09197512343109958,0.0,0.10723249689277889,0.022146554826564795,7.784097512
79,DSPC,0.01131877432461062,0.0,0.10723249689277889,0.022146554826564795,7.330230292
80,DSPC,0.17263147253758854,0.0,0.10723249689277889,0.0,9.345310412
81,DSPC,0.09197512343109958,0.0,0.10723249689277889,0.0,7.241260502
82,DSPC,0.01131877432461062,0.0,0.10723249689277889,0.0,9.093970682
83,DSPC,0.17263147253758854,0.8814237547535217,0.005771976283547391,0.13287932895938875,4.197407842
84,DSPC,0.09197512343109958,0.8814237547535217,0.005771976283547391,0.13287932895938875,3.553662962
85,DSPC,0.01131877432461062,0.8814237547535217,0.005771976283547391,0.13287932895938875,2.605848043
86,DSPC,0.17263147253758854,0.8814237547535217,0.005771976283547391,0.022146554826564795,5.330216532
87,DSPC,0.09197512343109958,0.8814237547535217,0.005771976283547391,0.022146554826564795,5.312260672
88,DSPC,0.01131877432461062,0.8814237547535217,0.005771976283547391,0.022146554826564795,4.379155362
89,DSPC,0.17263147253758854,0.8814237547535217,0.005771976283547391,0.0,5.167268512
90,DSPC,0.09197512343109958,0.8814237547535217,0.005771976283547391,0.0,4.981289632
91,DSPC,0.01131877432461062,0.8814237547535217,0.005771976283547391,0.0,3.866023502
92,DSPC,0.17263147253758854,0.4407118773767609,0.005771976283547391,0.13287932895938875,5.903379572
93,DSPC,0.09197512343109958,0.4407118773767609,0.005771976283547391,0.13287932895938875,5.652065142
94,DSPC,0.01131877432461062,0.4407118773767609,0.005771976283547391,0.13287932895938875,5.496336192
95,DSPC,0.17263147253758854,0.4407118773767609,0.005771976283547391,0.022146554826564795,7.712491672
96,DSPC,0.09197512343109958,0.4407118773767609,0.005771976283547391,0.022146554826564795,7.730723792
97,DSPC,0.01131877432461062,0.4407118773767609,0.005771976283547391,0.022146554826564795,2.944157222
98,DSPC,0.17263147253758854,0.4407118773767609,0.005771976283547391,0.0,8.281245822
99,DSPC,0.09197512343109958,0.4407118773767609,0.005771976283547391,0.0,8.145461082
100,DSPC,0.01131877432461062,0.4407118773767609,0.005771976283547391,0.0,7.945717462
101,DSPC,0.17263147253758854,0.0,0.005771976283547391,0.13287932895938875,5.893704772
102,DSPC,0.09197512343109958,0.0,0.005771976283547391,0.13287932895938875,5.407910562
103,DSPC,0.01131877432461062,0.0,0.005771976283547391,0.13287932895938875,5.638022782
104,DSPC,0.17263147253758854,0.0,0.005771976283547391,0.022146554826564795,5.397227972
105,DSPC,0.09197512343109958,0.0,0.005771976283547391,0.022146554826564795,5.412350792
106,DSPC,0.01131877432461062,0.0,0.005771976283547391,0.022146554826564795,5.549357152
107,DSPC,0.17263147253758854,0.0,0.005771976283547391,0.0,5.641911322
108,DSPC,0.09197512343109958,0.0,0.005771976283547391,0.0,5.705465632
109,DSPC,0.01131877432461062,0.0,0.005771976283547391,0.0,4.800108372
110,DSPC,0.03603435729257069,0.8879208648421641,0.7321439918942296,0.15040436389557899,4.289133832
111,DSPC,0.2414776025384166,0.02990751273867509,0.07246486268233146,0.022966915760042075,5.092635532
112,DSPC,0.031382104076802045,0.07831130500802752,0.017887011949449003,0.1952074979376021,0.511499743
113,DSPC,0.2302553448274008,0.029124972389272308,0.45965806313310503,0.19362776945436425,8.694050642
114,DSPC,0.02070105218895954,0.07684056353440522,0.44783151314162684,0.024492821277302554,3.189046672
115,DSPC,0.04437576128839378,1.0,0.652970714699805,0.007036041940038202,3.668028372
116,DSPC,0.04391046241898071,0.007038835331873328,0.5808944456873997,0.1800322932757523,9.252581482
117,DSPC,0.08803975782662325,0.6614890380473569,0.02489086710809934,0.0904538180660521,5.816395562
118,DSPC,0.2205785522938128,0.31474349160148063,0.009393947813522836,0.15505277540625087,3.647326172
119,DSPC,0.07974736942005935,0.0006623820188834673,0.219440795948549,0.028418550535669794,8.889594252
120,DSPC,0.046319937416050186,0.801327974300605,0.021494714567835183,0.28396806494477206,2.731056376
121,DSPC,0.062193892136651205,0.07636779398126015,0.736951673185434,0.2859195742324835,2.554222486
122,DSPC,0.04349869213041378,0.42454036636750614,1.0,0.12968674799988925,2.291810459
