Formula_label,Helper_lipid,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,LnRLU_T
22,DSPC,0.7280987005542565,0.45198046139548814,1.0,0.402639995337086,3.30543835
23,DSPC,0.7280987005542565,0.45198046139548814,0.5062695924764891,0.20384438635668245,3.387245534
24,DSPC,0.7280987005542565,0.45198046139548814,0.22413793103448276,0.09024689545520097,2.678898168
25,DSPC,0.4050509880877735,0.17916494971033192,0.8233859406896553,0.3482745743290395,5.124571702
26,DSPC,0.3193523618649621,0.16065292718299265,0.6988666452664577,0.8310895993558379,4.564856505
27,DSPC,0.08862712919262172,0.10792992451899672,0.2673285977429467,0.06375333744895165,1.256689234
28,DSPC,0.40460838171995683,0.13949605673310345,0.3701487069592476,0.1231354559590797,0.554689338
29,DSPC,0.6815088697721035,0.24941460277985064,0.552115655047022,0.4682277739706744,3.784103098
30,DSPC,0.25683299141005,0.10083416921159451,0.48440541567398115,0.25676536994397975,3.875044051
31,DSPC,0.04804393028794318,0.08049897358295982,0.17306737768025077,0.03615198217636706,0.739970517
32,DSPC,0.13863452389485154,0.06522081933622967,0.32800013680250784,0.187635831588207,3.908598754
33,DSPC,0.02313544047509819,0.12399239329452907,0.17083864087774292,0.08561190579659143,2.694815708
34,DSPC,0.2653679933666908,0.18783347389602933,0.24415750294670846,0.24413988331760397,3.446779737
35,DSPC,0.9351247354700138,0.010920121316613286,0.07944296877742947,0.027148390942537754,2.275887409
36,DSPC,0.8588169447320579,0.5361945997348678,0.1359208293416928,0.0191141169551606,1.13284832
37,DSPC,0.9792180006736095,0.10150761627260496,0.25596977379310343,0.13987263459301982,4.185322274
38,DSPC,0.31275265454862433,0.001370282478502894,0.08645960827586206,0.012198859339412744,2.093359886
39,DSPC,0.9521691529899765,0.06593754436016953,0.20759194871473352,0.2505326180727308,3.936726159
40,DSPC,0.8138506838698949,0.2975047717984106,0.2446810486520376,0.27726977658985114,1.567545626
41,DSPC,0.9990836414615638,0.6303274252086705,0.11490396050156738,0.12513595692957474,3.171158325
42,DSPC,1.0,1.0,0.12369543235109716,0.04326281923567778,2.054721261
43,DSPC,0.8470075007146618,0.1879971168009622,0.15656957266457683,0.0766431527893543,3.567106111
44,DSPC,0.8812094409155402,0.5516259626674543,0.10097378896551724,0.051854663979260654,2.340331534
4,DSPC,0.149729895148766,0.06268799742148624,0.3017241379310345,0.12148620549522358,4.928235902
7,DSPC,0.149729895148766,0.1755263927722628,0.45689655172413796,0.18396482544568354,4.172767096
16,DSPC,0.7280987005542565,0.11346527538265183,0.5344827586206897,0.21520413548570616,3.860887819
19,DSPC,0.7280987005542565,0.2940067078965023,0.7827586206896552,0.315169927380525,4.038759841
45,DSPC,0.24819541574577042,0.04356586457923885,0.4855805227586207,0.4024539120328564,4.933490958
46,DSPC,0.44517705392813967,0.11528594316502602,0.7102776949216302,0.49842999106803354,5.46163287
47,DSPC,0.8078869785251575,0.17220154524803902,0.9836881702821317,0.5572229778072432,5.320924985
48,DSPC,0.0998541037697821,0.04226240449821579,0.4186961223824452,0.4635758099354699,4.668130547
49,DSPC,0.0,0.025790745708433347,0.3546823677742946,0.08871024009120657,4.785470767
50,DSPC,0.022218428379911614,0.05428682934582296,0.4095074986833856,0.21828819401730434,5.072693417
51,DSPC,0.7898227856259279,0.17490329439508567,0.9554661959874607,0.8198731285306622,5.027060804
52,DSPC,0.515399884943937,0.12980779235349568,0.7640721880877743,0.8368421003825668,4.898674461
53,DSPC,0.005527552287524995,0.023471313989541023,0.35156123021943575,0.2757809394921925,4.71530548
54,DSPC,0.2431469295529225,0.055107043107324796,0.5097292431347963,0.2628569840011326,4.871672543
55,DSPC,0.33123118571899046,0.03667392286179001,0.04016806871473354,0.045525797923976444,1.811546212
56,DSPC,0.9770750395005654,0.24189712183275933,0.4774947820689655,0.59304138141116,3.805282895
57,DSPC,0.6720827300127339,0.452708104828059,0.9883046878996865,1.0000000000000002,4.068059579
58,DSPC,0.5144358591764551,0.2986919582470141,0.3732765141065831,0.3799065369857779,3.072177961
59,DSPC,0.9963693842909722,0.2742898556218999,0.0082828264200627,0.028455287188799878,1.230822374
60,DSPC,0.975945751273259,0.0563086562588415,0.2234214367398119,0.047617451257911086,3.620533586
61,DSPC,0.3196402597183887,0.3643335100814381,0.5076210682131662,0.32290890099304265,3.727491479
62,DSPC,0.19186499572422866,0.06724427657787777,0.08011010884012541,0.06849049331320202,2.597923622
63,DSPC,0.7263361621055997,0.19537586203825563,0.23074325893416925,0.2125834922078743,3.454320544
64,DSPC,0.025687265979851714,0.09706099001596594,0.10064687598746082,0.06725386650239233,1.94381418
4,DSPC,0.149729895148766,0.06268799742148624,0.3017241379310345,0.12148620549522358,4.839786611
7,DSPC,0.149729895148766,0.1755263927722628,0.45689655172413796,0.18396482544568354,3.852306186
