Formula_label,Helper_lipid,NP_ratio,PEG_PEG+Chol,IL+HL,HL_IL+HL,LnRLU_THP1
138,DSPC,0.7424884186523946,0.008531347321323485,0.5856481796296678,0.04449089828135818,10.03988907
139,DSPC,0.7396486467839162,0.008996844139521764,0.5935274132190675,0.04830158514649455,9.846697926
140,DSPC,0.7540192368096955,0.009376585771299526,0.5960392390906377,0.04411475673374555,10.1547867
141,DSPC,0.7469187199895124,0.008823425574387539,0.5752662120925858,0.04690513623529835,10.22550705
142,DSPC,0.07575544823691305,0.00030638384375338175,0.7969025672552619,0.005589484560765534,6.079060209
143,DSPC,0.7687773148115424,0.00014416034182567535,0.24981659073208612,0.02172649231011513,9.149266039
144,DSPC,0.7481535683194979,0.0001452591878161845,0.7461234935811143,0.006020938129253815,9.623445628
145,DSPC,0.3961741494052108,0.00014681400144146272,0.5750843818843903,0.005848063409957861,9.725235925
146,DSPC,0.7635306067841183,8.978106255348207e-05,0.5645132826410073,0.03210046775630723,9.662347669
147,DSPC,0.3421983649628524,0.00022513195663590065,0.7461234935811143,0.006013928244820047,8.908897329
148,DSPC,0.7279509550173924,0.0001852946540380901,0.40848585166043033,0.019626694184926765,9.418949978
149,DSPC,0.1730237459970199,0.00030638384375338175,0.7969025672552619,0.0053981705713100235,7.483189971
150,DSPC,0.8412377088103291,0.00022913581458841158,0.7337038201461845,0.005893167870411809,9.862537494
151,DSPC,0.7597580840643111,8.469898893286639e-05,0.3514470627499096,0.03431790920665783,9.628802033
152,DSPC,0.07749942009459165,0.00015584190554412264,0.7308223251682948,0.0061178395287374504,7.479995502
153,DSPC,0.33858330127573866,0.00022513195663590065,0.6026127457410531,0.006013928244820047,9.913741122
154,DSPC,0.8933359234442084,0.03353827259046882,0.4250682109595541,0.22848248959703799,8.751447525
155,DSPC,0.8887721037496346,0.0849092751594619,0.4185908138138437,0.24090406296006678,7.983064364
156,DSPC,0.8916877679764283,0.03526246547628449,0.4130289312026238,0.23842084411848527,8.398180914
157,DSPC,0.9010517427758267,0.07315850953766466,0.4161463171401007,0.1961863979560354,8.546951435
158,DSPC,0.9023127674975104,0.08231522067116029,0.4167794275796311,0.24032847585774553,6.694458063
159,DSPC,0.8907936284622846,0.0634340792762086,0.41510815174509624,0.2431095909512885,8.403261429
160,DSPC,0.8852137685996997,0.06175941236756512,0.4109234970677716,0.1865423990574283,8.673135733
161,DSPC,0.8816030397207113,0.08680569905403496,0.42400721566687843,0.20603951815040034,8.177902383
162,DSPC,0.8797645090897568,0.03340301663337913,0.429275856200324,0.27223933680640566,6.760448175
163,DSPC,0.8940898303486959,0.06534723353703716,0.4313481322797446,0.2613637447610319,8.36404496
164,DSPC,0.8840279063173151,0.05909422040155543,0.4132825711360411,0.18671288940956468,8.62275276
165,DSPC,0.8749807456179326,0.06286713644852536,0.4243672588718846,0.2502499016842683,8.243200889
166,DSPC,0.868905371853917,0.0656843397943445,0.4302330999942599,0.2793120607568571,7.551702318
167,DSPC,5.847704209699378e-05,0.22335793285674713,0.7551282222894815,0.5859525241662169,4.615181906
168,DSPC,0.00023230376711552703,0.19003711586749666,0.13568861610062594,0.5645402973395647,5.4862936
169,DSPC,0.001201795282239848,0.03535418155055029,0.43062457961066797,0.1942831495200086,7.496244165
170,DSPC,0.12468535800444122,0.1993447234056501,0.4310439608601861,0.713360156177891,5.274336022
171,DSPC,0.0002502905259433863,0.03519014779409629,0.41192407572879036,0.5579276113856507,5.71889894
172,DSPC,0.0001381339775855528,0.24119690298266266,0.547438654698839,0.5594094360780139,5.125609023
173,DSPC,0.002546551659049906,0.17830902083196812,0.4215903360483059,0.2782667999851748,6.033504492
174,DSPC,0.11946729998780217,0.1576353312412622,0.42709946358007406,0.5568796593352582,5.006843662
175,DSPC,8.809713071375458e-05,0.22725061861552115,0.4091875178182069,0.6288386515918118,4.832733846
176,DSPC,0.7264072042911658,0.036411024767291994,0.4156059835718298,0.27284834598301877,8.065846921
177,DSPC,0.1271659745787916,0.19428749038114215,0.5630621812667762,0.5942771294928707,5.479199002
178,DSPC,0.72748103758345,0.008224287553188844,0.6034165130292874,0.08985480642135715,9.849702523
179,DSPC,0.7271180877549689,1.2370466447979463e-05,0.6040380245550456,0.005478463456563969,10.32000832
180,DSPC,0.8956009954343913,7.226933221443025e-05,0.5920699562270968,0.014675790069266916,10.37974452
