Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,MAL_Mol_RNA,LnRLU_T,,TOTAL MOLES,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol
69,i-optimal,3,SM-102,DSPC,,,,,37.03448431,19.69358223,35.24667777,4.070458034,,,,96.04520234,12.3448281,59.06392528,34.71576494,10.35288546
70,i-optimal,3,SM-102,DSPC,,,,,14.38536683,77.67207159,38.66307282,7.941703015,,,,138.6622143,4.795122277,66.38970747,84.37348782,17.04053474
71,i-optimal,3,SM-102,DSPC,,,,,39.58909511,76.64762147,15.62590449,5.300176118,,,,137.1627972,13.19636504,84.74361778,65.94097263,25.32808803
72,i-optimal,3,SM-102,DSPC,,,,,42.8479503,59.76326267,16.55579658,5.329067197,,,,124.4960768,14.2826501,82.42124222,58.24242881,24.35047003
73,i-optimal,3,SM-102,DSPC,,,,,46.9321311,73.67199464,23.81051484,8.513926192,,,,152.9285668,15.6440437,78.86304586,61.08579966,26.33897423
74,i-optimal,3,SM-102,DSPC,,,,,31.19292174,54.52727406,15.2988346,5.381901671,,,,106.4009321,10.39764058,80.56338806,63.61076705,26.02374307
75,i-optimal,3,SM-102,DSPC,,,,,28.66666944,73.73324665,16.0506926,9.457221976,,,,127.9078307,9.555556481,80.05758174,72.00518268,37.07563763
76,i-optimal,3,SM-102,DSPC,,,,,49.11436938,64.36557396,17.06742605,6.581032583,,,,137.128402,16.37145646,82.75451453,56.71977979,27.82858995
77,DA,3,SM-102,DSPC,,,,,20.3410281,6.438284973,87.88208868,9.860917201,,,,124.522319,6.7803427,21.50563312,24.04200942,10.08861669
78,DA,3,SM-102,DSPC,,,,,19.48619572,6.171657355,99.40053552,5.646077789,,,,130.7044664,6.495398573,19.63043328,24.05367798,5.37483086
79,DA,3,SM-102,DSPC,,,,,19.18590199,5.532133396,99.72934001,6.690737794,,,,131.1381132,6.395300664,18.84885697,22.38095912,6.287101017
80,DA,3,SM-102,DSPC,,,,,15.04617863,5.30500984,80.44277937,6.259730082,,,,107.0536979,5.015392876,19.01026201,26.06732205,7.219779591
81,DA,3,SM-102,DSPC,,,,,33.21469824,14.71271403,69.68262606,4.135487206,,,,121.7455255,11.07156608,39.3668778,30.6979103,5.602266196
82,DA,3,SM-102,DSPC,,,,,19.69274665,10.29579597,94.55274682,8.813026726,,,,133.3543162,6.564248882,22.48786802,34.3324319,8.526058891
83,DA,3,SM-102,DSPC,,,,,21.90571089,5.725889553,77.25294024,4.051352793,,,,108.9358935,7.301903632,25.36501016,20.72225083,4.982950644
84,DA,3,SM-102,DSPC,,,,,15.31687667,5.810543583,92.72652451,8.864423935,,,,122.7183687,5.105625556,17.21618408,27.50238086,8.725604073
85,DA,3,SM-102,DSPC,,,,,15.5025932,5.141748449,77.11853082,8.961906856,,,,106.7247793,5.167531067,19.34353182,24.90633286,10.41108421
86,DA,3,SM-102,DSPC,,,,,20.1817081,6.343442165,84.42253239,6.951112594,,,,117.8987952,6.727236034,22.49823691,23.91482084,7.607349576
87,DA,3,SM-102,DSPC,,,,,44.65195677,5.15170968,98.77690014,5.937054119,,,,154.5176207,14.88398559,32.23170679,10.34403699,5.669783135
88,DA,3,SM-102,DSPC,,,,,19.37002326,6.528875167,77.80162414,5.802803753,,,,109.5033263,6.45667442,23.65124357,25.20908441,6.940785195
