Formula_label,Helper_lipid,NP_ratio,PEG_PEG+Chol,IL+HL,HL_IL+HL,LnRLU_RAMOS
86,DSPC,6.090803132,5.821299523,20.0,0.497512438,6.332802534
87,DSPC,4.273469446,1.38133607,21.85675862,1.440867093,6.240786851
88,DSPC,4.0,3.349904951,20.0,0.497512438,5.766968229
89,DSPC,5.802495465,9.049868951,21.38286687,0.70606559,5.357384773
90,DSPC,4.0,5.730877969,20.0,0.497512438,5.566086858
91,DSPC,6.679213322,5.211065888,27.63682822,0.497512438,5.826051877
92,DSPC,4.0,6.048145356,20.0,0.497512438,5.438228012
93,DSPC,6.96761324,4.984812728,36.36253966,0.497512438,5.397893633
94,DSPC,7.921916884,4.13965494,20.0,50.0,6.440291085
95,DSPC,4.207438302,4.161756175,44.2346249,50.0,6.920178681
96,DSPC,6.664758245,6.890112249,26.49174508,50.0,6.526975296
97,DSPC,6.900021948,1.119043717,32.71043357,22.95708219,7.514534203
98,DSPC,5.860371331,7.147469928,56.09349807,50.0,7.536447969
99,DSPC,10.7803464,3.227894766,63.71862978,50.0,7.187177053
100,DSPC,4.0,5.25101379,27.74537479,50.0,6.282704747
101,DSPC,4.0,5.146022509,64.45672804,50.0,5.41519207
102,DSPC,4.0,1.267199827,53.92887036,50.0,5.455884343
103,DSPC,4.0,3.8934168,20.0,50.0,5.967197614
104,DSPC,5.542021575,5.706454003,48.88001502,8.605122101,6.907914126
105,DSPC,4.390845439,2.955239026,56.24695126,50.0,6.298426224
106,DSPC,11.53530827,3.347054849,49.83337993,29.85532664,9.507631671
107,DSPC,6.804013086,3.279379193,49.77590802,25.43541641,9.070221913
108,DSPC,8.119255424,3.814819602,49.4064146,27.47031191,8.848847237
109,DSPC,6.841765659,4.008778112,49.19361398,27.01597619,8.974331038
110,DSPC,9.251966644,3.880792703,49.93351698,40.11365949,9.137156798
111,DSPC,5.247116491,4.05800145,49.20112243,38.05163763,9.474163065
112,DSPC,10.59695354,3.877982276,49.47526587,44.74771233,9.506240458
113,DSPC,4.691031767,4.018734815,49.37876911,24.00341318,9.527596123
114,DSPC,5.345951301,3.30007581,49.26815511,35.04431509,9.199763086
115,DSPC,5.872343906,3.24270021,49.86661473,42.6384666,9.062867049
116,DSPC,5.886756274,3.431224883,49.45421475,46.35060394,8.641638596
117,DSPC,10.04040949,4.142303282,49.70163259,43.91096247,9.127678655
118,DSPC,10.37061346,4.476900836,48.98211493,50.0,9.289020708
119,DSPC,7.208228843,3.456261823,51.25049223,42.95029311,8.855089158
120,DSPC,6.369492993,4.909611285,49.28037272,47.99363938,8.796046544
121,DSPC,10.6943862,2.181717713,51.72086973,28.51196225,9.265655436
122,DSPC,9.643144006,4.678872607,49.25099476,44.47575899,8.840065353
123,DSPC,10.7145963,6.503957712,53.32859001,40.87794544,9.49060325
124,DSPC,5.765104124,5.235827228,49.3541797,49.48973698,8.24672212
125,DSPC,8.650679067,4.808568621,49.79795394,50.0,8.53192135
126,DSPC,6.427198134,3.678761549,50.47057349,38.04423565,8.16223441
127,DSPC,4.730556776,3.5480875,53.4269747,41.19960987,7.929097366
128,DSPC,9.848157803,3.914199589,52.23708447,37.54545747,8.781372437
129,DSPC,9.922647395,5.141125534,49.53261202,26.67229876,9.438744983
130,DSPC,10.43278811,3.334781623,53.34661188,49.66616433,8.060861616
131,DSPC,10.52373441,4.021347532,49.85707777,25.41747583,8.733277451
132,DSPC,10.58731075,4.019432123,49.85888225,24.72236172,8.63927663
133,DSPC,10.5292465,5.145358673,61.03325672,47.0072267,7.747549192
134,DSPC,10.46676532,4.045987663,49.84097335,25.42849258,8.500653638
135,DSPC,10.53984931,3.31159165,61.49578042,47.54592351,8.687021239
136,DSPC,10.39383705,3.329455869,53.41271935,49.63228081,9.032592641
137,DSPC,10.56754459,5.141861565,63.49284321,47.66433619,7.276556069
138,DSPC,10.54485728,5.142617045,58.83700941,47.87589388,8.117354552
139,DSPC,10.44278713,3.282832551,59.20215396,47.5535706,7.877099058
140,DSPC,10.57781094,3.288149399,62.43475109,46.59266015,7.519382482
141,DSPC,10.45748354,3.323188072,58.83537111,46.6545629,8.194350007
142,DSPC,10.46220294,6.664436038,52.69834103,36.95882176,8.255328087
143,DSPC,9.205744712,4.177398984,61.02504522,28.40703284,7.578389926
144,DSPC,11.45628064,5.61028917,63.84558916,37.52241839,7.603889644
145,DSPC,10.6677323,5.967507709,68.11019134,33.20165113,6.837083789
146,DSPC,10.43830446,2.676417236,74.39511927,33.71042789,5.676475154
147,DSPC,10.23676545,2.692415778,52.32562398,36.92332953,8.467586065
148,DSPC,10.53376093,6.07539728,58.52133092,39.54787421,7.155758669
149,DSPC,11.36133324,6.523120085,54.95398613,35.0971746,7.412745168
150,DSPC,8.560306876,3.33635708,55.76682562,31.17341212,7.897204526
151,DSPC,10.36003628,5.225351243,60.22272018,40.6039453,7.141657136
152,DSPC,8.850495772,3.251867228,68.27000019,31.81785405,6.1204567
153,DSPC,10.43100082,6.877556411,51.32509351,37.04836374,8.044821814
