Formula_label,Opt_Method,Iter,Cell_Target,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,RLU_HB,RLU_NORM_HB,RAMOS_unblank,LnRLU_RAMOS
127,Grid-Search,0,,SM-102,DSPC,6.002865642,62.11306344,17.04948642,4.925478792,12.10928638,10.45482421,10.45482421,5.454824209
128,Grid-Search,0,,SM-102,DSPC,6.059814738,64.16091442,16.82629003,4.993490674,10.90668966,9.252227489,9.252227489,4.252227489
129,Grid-Search,0,,SM-102,DSPC,6.022781134,63.63116838,17.20803111,4.928453438,10.56990567,8.915443506,8.915443506,3.915443506
130,Grid-Search,0,,SM-102,DSPC,6.004616328,60.88778643,16.95584753,4.924662144,11.11750969,9.463047525,9.463047525,4.463047525
131,Grid-Search,0,,SM-102,DSPC,6.007446006,63.17687616,16.79386882,4.9366875,10.6667048,9.012242634,9.012242634,4.012242634
132,Grid-Search,0,,SM-102,DSPC,6.040590018,64.73296911,17.16032936,4.956588054,10.34222624,8.68776407,8.68776407,3.68776407
133,Grid-Search,0,,SM-102,DSPC,6.009975856,61.55935296,16.67410453,4.980542981,11.25925827,9.604796103,9.604796103,4.604796103
134,Grid-Search,0,,SM-102,DSPC,6.021719694,61.50862002,17.18468345,4.947013447,11.21220318,9.557741014,9.557741014,4.557741014
135,Grid-Search,0,,SM-102,DSPC,6.024333999,60.20415395,17.08617871,4.907686202,11.36221885,9.70775668,9.70775668,4.70775668
136,i-optimal,1,,SM-102,DSPC,4.12278929966034,42.584888775729226,25.31060347102814,7.865537296600337,,,,
137,i-optimal,1,,SM-102,DSPC,3.950982883385171,31.636397119432146,23.363715086150908,9.763991605702175,,,,
138,i-optimal,1,,SM-102,DSPC,5.144023413922724,45.27257617108907,25.10082651453562,5.517151814662198,,,,
139,i-optimal,1,,SM-102,DSPC,5.122901601331399,34.55843449937902,23.817637954386363,12.434349883078886,,,,
140,i-optimal,1,,SM-102,DSPC,5.209007821610396,21.578954803409843,24.361409898185393,14.630023830745781,,,,
141,i-optimal,1,,SM-102,DSPC,3.899610172535793,32.69745164303953,24.546998757328872,12.063034674145356,,,,
142,i-optimal,1,,SM-102,DSPC,4.695648396760782,23.33129324965211,24.71400708317922,13.105915916083724,,,,
143,i-optimal,1,,SM-102,DSPC,4.108438163779138,38.812561186788095,25.075935062312713,13.719856117327126,,,,
144,i-optimal,1,,SM-102,DSPC,3.9491684562761047,23.62936668641895,23.935352918599865,13.082043117336589,,,,
145,i-optimal,1,,SM-102,DSPC,4.046362840353753,20.376358501232797,37.39654563914003,7.603268142936303,,,,
146,i-optimal,1,,SM-102,DSPC,4.946712654905248,34.049825368700866,47.82988777327937,5.504961171346936,,,,
147,i-optimal,1,,SM-102,DSPC,4.070963397055536,36.259965453414,49.49544420326395,11.704308918374618,,,,
148,NSGAII,1,,SM-102,DSPC,4.164862371358696,33.13970793269354,28.161698983605174,3.8793318704277464,,,,
149,NSGAII,1,,SM-102,DSPC,4.123099913946778,29.434849093565845,5.568378499821292,1.3954861890671906,,,,
150,NSGAII,1,,SM-102,DSPC,4.17529944395369,45.69669469333136,50.44793032217769,3.9229738425034775,,,,
151,NSGAII,1,,SM-102,DSPC,4.178369433944452,26.002442593215562,14.17447458528959,3.9549910489725324,,,,
152,NSGAII,1,,SM-102,DSPC,4.189149609289263,37.73256212703392,15.782312935463997,3.925746022365304,,,,
153,NSGAII,1,,SM-102,DSPC,4.121727481075906,35.241460539609,13.809876574803827,1.3946740744386614,,,,
154,NSGAII,1,,SM-102,DSPC,4.1768714163663025,25.1856420590124,27.278910399685895,3.8793318704277464,,,,
155,NSGAII,1,,SM-102,DSPC,4.159461505862018,37.597488747736875,23.32393026187691,3.987449905852061,,,,
156,NSGAII,1,,SM-102,DSPC,4.12004131148453,28.076445591861056,13.778338397955538,1.3901110021140368,,,,
157,NSGAII,1,,SM-102,DSPC,4.189234830567698,31.60507693440439,16.116514171733375,3.794756368300291,,,,
158,NSGAII,1,,SM-102,DSPC,4.167377821999454,37.897951204802354,28.11210227653551,3.8273278485700857,,,,
159,NSGAII,1,,SM-102,DSPC,4.156825679974244,29.26272682757241,27.646555509239487,3.938446586334163,,,,
