Formula_label,Lipid_Formula_label,Opt_Method,Ionizable_Lipid,Helper_lipid,SORT_lipid,Iter,IL_NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),SORT_of_total,on_target,NORM_RLU_HEPG2
57,56,N/A,SM-102,DSPC,18PG,0,6.3,80,10,5,0,1.700322537,
58,57,N/A,SM-102,DSPC,18PG,0,3.6,80,10,5,0,1.707998984,
59,58,N/A,SM-102,DSPC,18PG,0,9,80,10,1,0,1.761400349,
60,59,N/A,SM-102,DSPC,18PG,0,6.3,80,10,1,0,1.538535582,
61,60,N/A,SM-102,DSPC,18PG,0,3.6,80,10,1,0,1.599365143,
62,61,N/A,SM-102,DSPC,18PG,0,9,80,10,0.2,0,1.30697254,
63,62,N/A,SM-102,DSPC,18PG,0,6.3,80,10,0.2,0,1.530840546,
64,63,N/A,SM-102,DSPC,18PG,0,3.6,80,10,0.2,0,1.377450345,
65,64,N/A,SM-102,DSPC,18PG,0,9,50,10,5,0,2.610310102,
66,65,N/A,SM-102,DSPC,18PG,0,6.3,50,10,5,0,2.490959984,
67,66,N/A,SM-102,DSPC,18PG,0,3.6,50,10,5,0,1.967077313,
68,67,N/A,SM-102,DSPC,18PG,0,9,50,10,1,0,1.681775789,
69,68,N/A,SM-102,DSPC,18PG,0,6.3,50,10,1,0,1.846481336,
70,69,N/A,SM-102,DSPC,18PG,0,3.6,50,10,1,0,1.923821686,
71,70,N/A,SM-102,DSPC,18PG,0,9,50,10,0.2,0,1.977352343,
72,71,N/A,SM-102,DSPC,18PG,0,6.3,50,10,0.2,0,2.075599322,
73,72,N/A,SM-102,DSPC,18PG,0,3.6,50,10,0.2,0,2.072846325,
74,73,N/A,SM-102,DSPC,18PG,0,9,20,10,5,0,2.678945,
75,74,N/A,SM-102,DSPC,18PG,0,6.3,20,10,5,0,2.786558614,
76,75,N/A,SM-102,DSPC,18PG,0,3.6,20,10,5,0,2.682503129,
77,76,N/A,SM-102,DSPC,18PG,0,9,20,10,1,0,3.660191877,
78,77,N/A,SM-102,DSPC,18PG,0,6.3,20,10,1,0,3.457710217,
79,78,N/A,SM-102,DSPC,18PG,0,3.6,20,10,1,0,3.373149822,
80,79,N/A,SM-102,DSPC,18PG,0,9,20,10,0.2,0,1.449875714,
81,80,N/A,SM-102,DSPC,18PG,0,6.3,20,10,0.2,0,1.502167938,
82,81,N/A,SM-102,DSPC,18PG,0,3.6,20,10,0.2,0,1.542187443,
83,82,N/A,SM-102,DSPC,18PG,0,9.9,80,1,5,0,1.522200803,
84,83,N/A,SM-102,DSPC,18PG,0,6.93,80,1,5,0,1.545307029,
85,84,N/A,SM-102,DSPC,18PG,0,3.96,80,1,5,0,1.587491653,
86,85,N/A,SM-102,DSPC,18PG,0,9.9,80,1,1,0,1.29914579,
87,86,N/A,SM-102,DSPC,18PG,0,6.93,80,1,1,0,1.309889113,
88,87,N/A,SM-102,DSPC,18PG,0,3.96,80,1,1,0,1.333091608,
89,88,N/A,SM-102,DSPC,18PG,0,9.9,80,1,0.2,0,2.005048807,
90,89,N/A,SM-102,DSPC,18PG,0,6.93,80,1,0.2,0,1.378064156,
91,90,N/A,SM-102,DSPC,18PG,0,3.96,80,1,0.2,0,1.429490393,
92,91,N/A,SM-102,DSPC,18PG,0,9.9,50,1,5,0,4.093821844,
93,92,N/A,SM-102,DSPC,18PG,0,6.93,50,1,5,0,4.60431589,
94,93,N/A,SM-102,DSPC,18PG,0,3.96,50,1,5,0,2.881846061,
95,94,N/A,SM-102,DSPC,18PG,0,9.9,50,1,1,0,2.569957754,
96,95,N/A,SM-102,DSPC,18PG,0,6.93,50,1,1,0,2.798934825,
97,96,N/A,SM-102,DSPC,18PG,0,3.96,50,1,1,0,2.62499535,
98,97,N/A,SM-102,DSPC,18PG,0,9.9,50,1,0.2,0,1.754264957,
99,98,N/A,SM-102,DSPC,18PG,0,6.93,50,1,0.2,0,2.071313601,
100,99,N/A,SM-102,DSPC,18PG,0,3.96,50,1,0.2,0,2.433983425,
101,100,N/A,SM-102,DSPC,18PG,0,9.9,20,1,5,0,2.810134471,
102,101,N/A,SM-102,DSPC,18PG,0,6.93,20,1,5,0,2.941416364,
103,102,N/A,SM-102,DSPC,18PG,0,3.96,20,1,5,0,2.250152262,
104,103,N/A,SM-102,DSPC,18PG,0,9.9,20,1,1,0,2.399895383,
105,104,N/A,SM-102,DSPC,18PG,0,6.93,20,1,1,0,2.568777006,
106,105,N/A,SM-102,DSPC,18PG,0,3.96,20,1,1,0,2.532432392,
107,106,N/A,SM-102,DSPC,18PG,0,9.9,20,1,0.2,0,1.740409228,
108,107,N/A,SM-102,DSPC,18PG,0,6.93,20,1,0.2,0,1.611261316,
109,108,N/A,SM-102,DSPC,18PG,0,3.96,20,1,0.2,0,1.519008179,
110,109,SA,SM-102,DSPC,18PG,0,4.916853637,73.56337875,25.39399436,3.960262704,0,4.263614288,
111,110,SA,SM-102,DSPC,18PG,0,4.879602257,61.20785132,28.85595517,4.903677225,0,5.709467653,
112,111,SA,SM-102,DSPC,18PG,0,5.057956144,65.05110938,23.27285161,3.765907478,0,5.075549879,
113,112,SA,SM-102,DSPC,18PG,0,5.122019597,62.06232846,25.13830369,4.525252008,0,5.286295645,
114,113,SA,SM-102,DSPC,18PG,0,4.993596888,67.85655003,22.05446754,3.810142612,0,4.900867002,
115,114,SA,SM-102,DSPC,18PG,0,5.607134729,71.01568386,19.05493098,4.443747044,0,4.711070623,
116,115,SA,SM-102,DSPC,18PG,0,5.032784065,72.78344333,24.10730786,4.662748981,0,4.219206048,
117,116,SA,SM-102,DSPC,18PG,0,4.44831048,63.34984533,28.91382197,4.274929845,0,5.2581677,
118,117,SA,SM-102,DSPC,18PG,0,4.273874168,61.27010584,29.77992564,4.281802344,0,5.208598045,
119,118,SA,SM-102,DSPC,18PG,0,4.902825402,66.21537127,25.11733166,4.875042963,0,3.21219838,
120,119,SA,SM-102,DSPC,18PG,0,4.998815374,68.74565974,19.84424851,4.146977174,0,2.771234642,
121,120,SA,SM-102,DSPC,18PG,0,5.107026291,67.58308798,17.20878256,4.412485361,0,3.940429441,
122,121,SA,SM-102,DSPC,18PG,0,5.132136067,63.4013328,22.57070976,4.844201064,0,3.963458411,
123,122,SA,SM-102,DSPC,18PG,0,4.704545108,65.27160842,29.44132268,4.669384408,0,3.291261436,
124,123,SA,SM-102,DSPC,18PG,0,4.959071827,70.22302147,19.54212379,4.859822392,0,2.982832707,
125,124,SA,SM-102,DSPC,18PG,0,5.116232031,69.24869673,18.64168955,4.288398192,0,3.498639122,
126,125,SA,SM-102,DSPC,18PG,0,4.618966185,71.09381012,23.80620904,3.788995683,0,3.173860413,
127,126,SA,SM-102,DSPC,18PG,0,4.491262467,72.06880249,29.04594126,4.07190969,0,3.359265936,
128,127,SA,SM-102,DSPC,18PG,0,4.97940788,62.11306344,17.04948642,4.925478792,0,5.494824209,
129,128,SA,SM-102,DSPC,18PG,0,5.040172735,64.16091442,16.82629003,4.993490674,0,4.292227489,
130,129,SA,SM-102,DSPC,18PG,0,4.986379083,63.63116838,17.20803111,4.928453438,0,3.955443506,
131,130,SA,SM-102,DSPC,18PG,0,4.986482739,60.88778643,16.95584753,4.924662144,0,4.503047525,
132,131,SA,SM-102,DSPC,18PG,0,4.998563404,63.17687616,16.79386882,4.9366875,0,4.052242634,
133,132,SA,SM-102,DSPC,18PG,0,5.004004876,64.73296911,17.16032936,4.956588054,0,3.72776407,
134,133,SA,SM-102,DSPC,18PG,0,5.0078662,61.55935296,16.67410453,4.980542981,0,4.644796103,
135,134,SA,SM-102,DSPC,18PG,0,4.986906226,61.50862002,17.18468345,4.947013447,0,4.597741014,
136,135,SA,SM-102,DSPC,18PG,0,4.995005526,60.20415395,17.08617871,4.907686202,0,4.74775668,
137,136,N/A,SM-102,DSPC,18PG,0,10,66.66666667,0,5,40.00,3.608218,1.611867
138,137,N/A,SM-102,DSPC,18PG,0,7,66.66666667,0,5,40.00,3.572998,1.984458
139,138,N/A,SM-102,DSPC,18PG,0,4,66.66666667,0,5,40.00,3.363491,0.356905
140,139,N/A,SM-102,DSPC,18PG,0,10,66.66666667,0,1,40.00,4.231705,0.246974
141,140,N/A,SM-102,DSPC,18PG,0,7,66.66666667,0,1,40.00,3.990886,1.821747
142,141,N/A,SM-102,DSPC,18PG,0,4,66.66666667,0,1,40.00,4.56542,1.91055
143,142,N/A,SM-102,DSPC,18PG,0,10,66.66666667,0,0.2,40.00,5.301752,1.365596
144,143,N/A,SM-102,DSPC,18PG,0,7,66.66666667,0,0.2,40.00,4.154895,1.632305
145,144,N/A,SM-102,DSPC,18PG,0,4,66.66666667,0,0.2,40.00,0.891432,2.100018
146,145,N/A,SM-102,DSPC,18PG,0,10,33.33333333,0,5,25.00,3.129211,2.647985
147,146,N/A,SM-102,DSPC,18PG,0,7,33.33333333,0,5,25.00,3.456056,0.786826
148,147,N/A,SM-102,DSPC,18PG,0,4,33.33333333,0,5,25.00,4.246583,1.221043
149,148,N/A,SM-102,DSPC,18PG,0,10,33.33333333,0,1,25.00,3.424573,2.306324
150,149,N/A,SM-102,DSPC,18PG,0,7,33.33333333,0,1,25.00,3.727476,2.498215
151,150,N/A,SM-102,DSPC,18PG,0,4,33.33333333,0,1,25.00,4.359453,1.770502
152,151,N/A,SM-102,DSPC,18PG,0,10,33.33333333,0,0.2,25.00,4.407451,1.922273
153,152,N/A,SM-102,DSPC,18PG,0,7,33.33333333,0,0.2,25.00,4.410549,1.974929
154,153,N/A,SM-102,DSPC,18PG,0,4,33.33333333,0,0.2,25.00,4.6013,2.736096
155,154,N/A,SM-102,DSPC,18PG,0,10,11.11111111,0,5,10.00,2.446666,0.452341
156,155,N/A,SM-102,DSPC,18PG,0,7,11.11111111,0,5,10.00,0.883378,2.045767
157,156,N/A,SM-102,DSPC,18PG,0,4,11.11111111,0,5,10.00,1.986136,2.019623
158,157,N/A,SM-102,DSPC,18PG,0,10,11.11111111,0,1,10.00,3.315074,2.353164
159,158,N/A,SM-102,DSPC,18PG,0,7,11.11111111,0,1,10.00,4.678171,2.530907
160,159,N/A,SM-102,DSPC,18PG,0,4,11.11111111,0,1,10.00,2.908732,1.29458
161,160,N/A,SM-102,DSPC,18PG,0,10,11.11111111,0,0.2,10.00,4.370747,1.788518
162,161,N/A,SM-102,DSPC,18PG,0,7,11.11111111,0,0.2,10.00,4.708559,3.221796
163,162,N/A,SM-102,DSPC,18PG,0,4,11.11111111,0,0.2,10.00,3.798358,2.09356
164,163,N/A,SM-102,DSPC,18PG,0,10,73.68421053,0,5,24.00,2.92648,3.55447
165,164,N/A,SM-102,DSPC,18PG,0,7,73.68421053,0,5,24.00,2.908366,3.285812
166,165,N/A,SM-102,DSPC,18PG,0,4,73.68421053,0,5,24.00,2.395076,2.352226
167,166,N/A,SM-102,DSPC,18PG,0,10,73.68421053,0,1,24.00,4.367473,3.237528
168,167,N/A,SM-102,DSPC,18PG,0,7,73.68421053,0,1,24.00,4.453719,3.612354
169,168,N/A,SM-102,DSPC,18PG,0,4,73.68421053,0,1,24.00,3.949214,2.008851
170,169,N/A,SM-102,DSPC,18PG,0,10,73.68421053,0,0.2,24.00,4.795677,4.06804
171,170,N/A,SM-102,DSPC,18PG,0,7,73.68421053,0,0.2,24.00,5.326677,3.43291
172,171,N/A,SM-102,DSPC,18PG,0,4,73.68421053,0,0.2,24.00,4.057125,2.724205
173,172,N/A,SM-102,DSPC,18PG,0,10,41.17647059,0,5,15.00,3.626461,4.561999
174,173,N/A,SM-102,DSPC,18PG,0,7,41.17647059,0,5,15.00,3.872273,3.694948
175,174,N/A,SM-102,DSPC,18PG,0,4,41.17647059,0,5,15.00,4.386829,3.631239
176,175,N/A,SM-102,DSPC,18PG,0,10,41.17647059,0,1,15.00,3.956469,4.925188
177,176,N/A,SM-102,DSPC,18PG,0,7,41.17647059,0,1,15.00,4.411363,5.657777
178,177,N/A,SM-102,DSPC,18PG,0,4,41.17647059,0,1,15.00,4.693499,4.620139
179,178,N/A,SM-102,DSPC,18PG,0,10,41.17647059,0,0.2,15.00,4.360994,6.300387
180,179,N/A,SM-102,DSPC,18PG,0,7,41.17647059,0,0.2,15.00,4.900019,6.858131
181,180,N/A,SM-102,DSPC,18PG,0,4,41.17647059,0,0.2,15.00,5.055628,6.289106
182,181,N/A,SM-102,DSPC,18PG,0,10,14.89361702,0,5,6.00,2.245678,4.574358
183,182,N/A,SM-102,DSPC,18PG,0,7,14.89361702,0,5,6.00,2.438582,3.596039
184,183,N/A,SM-102,DSPC,18PG,0,4,14.89361702,0,5,6.00,3.562372,3.99845
185,184,N/A,SM-102,DSPC,18PG,0,10,14.89361702,0,1,6.00,4.583658,6.509379
186,185,N/A,SM-102,DSPC,18PG,0,7,14.89361702,0,1,6.00,4.519922,6.783512
187,186,N/A,SM-102,DSPC,18PG,0,4,14.89361702,0,1,6.00,4.695093,5.91649
188,187,N/A,SM-102,DSPC,18PG,0,10,14.89361702,0,0.2,6.00,4.171531,6.063634
189,188,N/A,SM-102,DSPC,18PG,0,7,14.89361702,0,0.2,6.00,4.356708,5.613732
190,189,N/A,SM-102,DSPC,18PG,0,4,14.89361702,0,0.2,6.00,3.906887,5.175143
191,190,N/A,SM-102,DSPC,18PG,0,10,78.26086957,0,5,8.00,2.062165,5.111023
192,191,N/A,SM-102,DSPC,18PG,0,7,78.26086957,0,5,8.00,2.348568,4.683625
193,192,N/A,SM-102,DSPC,18PG,0,4,78.26086957,0,5,8.00,1.456832,3.029777
194,193,N/A,SM-102,DSPC,18PG,0,10,78.26086957,0,1,8.00,4.106708,4.511067
195,194,N/A,SM-102,DSPC,18PG,0,7,78.26086957,0,1,8.00,4.219168,3.685618
196,195,N/A,SM-102,DSPC,18PG,0,4,78.26086957,0,1,8,3.354405,3.495125
197,196,N/A,SM-102,DSPC,18PG,0,10,78.26086957,0,0.2,8,3.986891,2.298025
198,197,N/A,SM-102,DSPC,18PG,0,7,78.26086957,0,0.2,8,3.85256,3.222124
199,198,N/A,SM-102,DSPC,18PG,0,4,78.26086957,0,0.2,8,3.841607,3.389044
200,199,N/A,SM-102,DSPC,18PG,0,10,47.36842105,0,5,5,3.450672,5.522381
201,200,N/A,SM-102,DSPC,18PG,0,7,47.36842105,0,5,5,3.651254,6.401623
202,201,N/A,SM-102,DSPC,18PG,0,4,47.36842105,0,5,5,3.99247,5.934259
203,202,N/A,SM-102,DSPC,18PG,0,10,47.36842105,0,1,5,4.215416,6.417158
204,203,N/A,SM-102,DSPC,18PG,0,7,47.36842105,0,1,5,4.890897,7.320717
205,204,N/A,SM-102,DSPC,18PG,0,4,47.36842105,0,1,5,4.686359,6.751475
206,205,N/A,SM-102,DSPC,18PG,0,10,47.36842105,0,0.2,5,4.512011,8.890518
207,206,N/A,SM-102,DSPC,18PG,0,7,47.36842105,0,0.2,5,5.166961916,8.48247412
208,207,N/A,SM-102,DSPC,18PG,0,4,47.36842105,0,0.2,5,4.332891,7.57516
209,208,N/A,SM-102,DSPC,18PG,0,10,18.36734694,0,5,2,2.770952,5.827666
210,209,N/A,SM-102,DSPC,18PG,0,7,18.36734694,0,5,2,3.375157,5.854633
211,210,N/A,SM-102,DSPC,18PG,0,4,18.36734694,0,5,2,3.988829,6.302315
212,211,N/A,SM-102,DSPC,18PG,0,10,18.36734694,0,1,2,4.826003,8.508581
213,212,N/A,SM-102,DSPC,18PG,0,7,18.36734694,0,1,2,4.910342,8.660481
214,213,N/A,SM-102,DSPC,18PG,0,4,18.36734694,0,1,2,4.2076744,7.1494548
215,214,N/A,SM-102,DSPC,18PG,0,10,18.36734694,0,0.2,2,4.329719,7.636335
216,215,N/A,SM-102,DSPC,18PG,0,7,18.36734694,0,0.2,2,4.046147,8.021228
217,216,N/A,SM-102,DSPC,18PG,0,4,18.36734694,0,0.2,2,3.850745282,5.845434434
218,217,N/A,SM-102,DSPC,18PG,0,10,79.83870968,0,5,0.8,1.122861,2.247769
219,218,N/A,SM-102,DSPC,18PG,0,7,79.83870968,0,5,0.8,3.663969182,5.066832571
220,219,N/A,SM-102,DSPC,18PG,0,4,79.83870968,0,5,0.8,-0.11186,2.269399
221,220,N/A,SM-102,DSPC,18PG,0,10,79.83870968,0,1,0.8,1.039765,3.820894
222,221,N/A,SM-102,DSPC,18PG,0,7,79.83870968,0,1,0.8,0.825747,3.441099
223,222,N/A,SM-102,DSPC,18PG,0,4,79.83870968,0,1,0.8,1.449217,2.892063
224,223,N/A,SM-102,DSPC,18PG,0,10,79.83870968,0,0.2,0.8,1.108502,3.651694
225,224,N/A,SM-102,DSPC,18PG,0,7,79.83870968,0,0.2,0.8,0.79977,4.19545
226,225,N/A,SM-102,DSPC,18PG,0,4,79.83870968,0,0.2,0.8,0.944924,3.119579
227,226,N/A,SM-102,DSPC,18PG,0,10,49.74874372,0,5,0.5,4.279781,8.415572
228,227,N/A,SM-102,DSPC,18PG,0,7,49.74874372,0,5,0.5,4.260108,7.494953
229,228,N/A,SM-102,DSPC,18PG,0,4,49.74874372,0,5,0.5,4.505371,7.227654
230,229,N/A,SM-102,DSPC,18PG,0,10,49.74874372,0,1,0.5,4.751754,9.800319
231,230,N/A,SM-102,DSPC,18PG,0,7,49.74874372,0,1,0.5,5.039581,9.061809
232,231,N/A,SM-102,DSPC,18PG,0,4,49.74874372,0,1,0.5,4.257835,7.578988
233,232,N/A,SM-102,DSPC,18PG,0,10,49.74874372,0,0.2,0.5,2.866865,8.885075
234,233,N/A,SM-102,DSPC,18PG,0,7,49.74874372,0,0.2,0.5,2.016167,8.675597
235,234,N/A,SM-102,DSPC,18PG,0,4,49.74874372,0,0.2,0.5,-0.12393,7.833985
236,235,N/A,SM-102,DSPC,18PG,0,10,19.83967936,0,5,0.2,1.307229,5.941625
237,236,N/A,SM-102,DSPC,18PG,0,7,19.83967936,0,5,0.2,1.902888,6.723823
238,237,N/A,SM-102,DSPC,18PG,0,4,19.83967936,0,5,0.2,2.872716,7.111846
239,238,N/A,SM-102,DSPC,18PG,0,10,19.83967936,0,1,0.2,4.401391,2.768523
240,239,N/A,SM-102,DSPC,18PG,0,7,19.83967936,0,1,0.2,4.264451,8.602158
241,240,N/A,SM-102,DSPC,18PG,0,4,19.83967936,0,1,0.2,3.307793,8.707065
242,241,N/A,SM-102,DSPC,18PG,0,10,19.83967936,0,0.2,0.2,3.699731,8.032228
243,242,N/A,SM-102,DSPC,18PG,0,7,19.83967936,0,0.2,0.2,2.949408,8.148468
244,243,N/A,SM-102,DSPC,18PG,0,4,19.83967936,0,0.2,0.2,-0.38896,8.306547
245,244,N/A,SM-102,DSPC,18PG,0,7.685673,51.59155814,0,4.563479,14.09006694,3.388387,4.643097
246,245,N/A,SM-102,DSPC,18PG,0,7.920521,54.18789376,0,4.657966,17.02549146,3.524364,3.589937
247,246,N/A,SM-102,DSPC,18PG,0,20.7843,58.04466426,0,4.558384,34.89023621,0.634466,1.762217
248,247,N/A,SM-102,DSPC,18PG,0,10.14387,63.27828152,0,2.668345,12.5467943,2.831611,3.280853
249,248,N/A,SM-102,DSPC,18PG,0,16.84463,49.4095556,0,1.752942,7.197435101,3.212096,8.036833
250,249,N/A,SM-102,DSPC,18PG,0,11.11502,45.17704894,0,2.169519,10.69574137,3.370216,7.955275
251,250,N/A,SM-102,DSPC,18PG,0,10.01481,50.17593179,0,2.699551,14.3458944,2.876233,5.778941
252,251,N/A,SM-102,DSPC,18PG,0,18.85327,44.32972075,0,3.783933,10.96349674,3.238878,7.817123
253,252,N/A,SM-102,DSPC,18PG,0,8.926423,58.73613481,0,1.536995,31.02490553,-0.07617,2.626175
254,253,N/A,SM-102,DSPC,18PG,0,5.037036,28.52616642,0,1.057194,3.399864624,5.632854,8.127295
255,254,N/A,SM-102,DSPC,18PG,0,4.068309,30.90940579,0,1.303739,4.605119185,4.2133256,7.669673
256,255,N/A,SM-102,DSPC,18PG,0,6.095056,25.01366202,0,1.186943,3.036683801,5.693863,7.827032
257,256,N/A,SM-102,DSPC,18PG,0,5.265856,42.34298523,0,1.288207,6.179030924,5.520653,8.460379
258,257,N/A,SM-102,DSPC,18PG,0,5.229275,24.78337907,0,1.122174,3.5118846,5.649496,8.026072
259,258,N/A,SM-102,DSPC,18PG,0,4.918921,45.05172075,0,1.115076,5.658046603,5.211244,6.828699
260,259,N/A,SM-102,DSPC,18PG,0,4.523267,27.64848225,0,1.082744,3.862472877,5.665101,7.850376
261,260,N/A,SM-102,DSPC,18PG,0,5.201357,20.48779598,0,1.185736,2.393700495,5.373651,7.334374
262,261,N/A,SM-102,DSPC,18PG,0,6.761997,36.08958939,0,1.366234,5.04961646,5.405903,7.668054
263,262,N/A,SM-102,DSPC,18PG,0,5.934758,27.87218808,0,1.40677,3.036057602,4.6139998,7.7029584
264,263,N/A,SM-102,DSPC,18PG,0,4.566887,34.47393505,0,1.433614,3.797458238,4.555471,7.939622
265,264,N/A,SM-102,DSPC,18PG,0,6.204104,40.78608158,0,1.438764,4.403607269,4.712033,8.139641
266,265,N/A,SM-102,DSPC,18PG,0,6.761825,32.56339278,0,1.394717,3.611817558,4.17308,7.752236
267,266,N/A,SM-102,DSPC,18PG,0,4.233641,39.66409859,0,1.460936,4.419510348,4.465884,8.135799
268,267,N/A,SM-102,DSPC,18PG,0,4.274646,26.08693235,0,1.398844,2.924932917,4.706176,7.565165
269,268,N/A,SM-102,DSPC,18PG,0,4.208646151,22.41907648,0,1.491798,2.451315912,4.593332,7.234194
270,269,N/A,SM-102,DSPC,18PG,0,3.683006428,30.65844555,0,1.396425,3.526434425,4.690489,7.991661
271,270,N/A,SM-102,DSPC,18PG,0,6.030407793,36.98621083,0,1.462187,4.185701586,4.454576,8.43395
272,271,N/A,SM-102,DSPC,18PG,0,6.241981272,29.81544614,0,1.029804,4.381753094,4.669916,8.811719
273,272,N/A,SM-102,DSPC,18PG,0,9.17911024,85.420546,0,0.477,8.7071436,2.928703,5.543423
274,273,N/A,SM-102,DSPC,18PG,0,2.4228078,10.9971567,0,1.405,13.7903946,0.379746,2.181462
275,274,N/A,SM-102,DSPC,18PG,0,4.09642716,68.35232492,0,1.107,50.37866144,0.322249,3.685088
276,275,N/A,SM-102,DSPC,18PG,0,3.56981469,26.7496925,0,1.107,3.31235128,4.890162,9.932238
277,276,N/A,SM-102,DSPC,18PG,0,7.7375158,55.19152639,0,1.397,17.51783308,4.300087,7.217488
278,277,N/A,SM-102,DSPC,18PG,0,3.83839848,22.2958297,0,1.098,10.52732468,5.235632,9.70897
279,278,N/A,SM-102,DSPC,18PG,0,9.56173402,59.79919547,0,0.558,6.26804502,4.165546,7.662922
280,279,N/A,SM-102,DSPC,18PG,0,4.99682568,45.47229303,0,1.09,31.98320256,0.133695,2.555503
