Formula_label,Iter,Opt_Method,Cell_Target,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,RLU_INS,RLU_RAW,RLU_HEPG2,RLU_KELLY,selectivity,weighted_selectivity,NORM_RLU_INS,NORM_RLU_HEPG2,on_target,off_target,LnRLU_HEPG2
101,0,N/A,N/A,SM-102,DSPC,7,20,1,5,12.01248219,9.248820447,12.49024965,12.86207958,0.48812188,5.767883983,11.81648317,12.39157561,11.81648317,12.39157561,7.391575608
102,0,N/A,N/A,SM-102,DSPC,4,20,1,5,11.66183333,9.042119656,12.72036187,13.05190035,0.476007214,5.457819847,11.46583431,12.62168783,11.46583431,12.62168783,7.621687828
103,0,N/A,N/A,SM-102,DSPC,10,20,1,1,13.33073642,10.08901974,12.47956706,12.19907851,0.514772208,6.761397767,13.1347374,12.38089302,13.1347374,12.38089302,7.380893018
104,0,N/A,N/A,SM-102,DSPC,7,20,1,1,13.08238249,9.561552228,12.49468988,12.26005244,0.509697806,6.568161387,12.88638347,12.39601584,12.88638347,12.39601584,7.396015838
105,0,N/A,N/A,SM-102,DSPC,4,20,1,1,12.63182385,9.014434585,12.63169624,12.59116187,0.498053627,6.193707663,12.43582483,12.5330222,12.43582483,12.5330222,7.533022198
106,0,N/A,N/A,SM-102,DSPC,10,20,1,0.2,11.67956465,9.244445742,12.72425041,13.21106501,0.476315815,5.469803926,11.48356563,12.62557637,11.48356563,12.62557637,7.625576368
107,0,N/A,N/A,SM-102,DSPC,7,20,1,0.2,11.97972756,9.258568984,12.78780472,13.11486003,0.481501913,5.673887838,11.78372854,12.68913068,11.78372854,12.68913068,7.689130678
108,0,N/A,N/A,SM-102,DSPC,4,20,1,0.2,12.4705263,9.446387814,11.88244746,12.6218154,0.510199263,6.262454768,12.27452728,11.78377342,12.27452728,11.78377342,6.783773418
109,0,quad,N/A,SM-102,DSPC,4.919292154,80.44226923,65.43243245,5.633056837,12.91016992,9.082676133,11.37147292,12.24430045,0.530044896,6.739081391,12.7141709,11.27279888,12.7141709,11.27279888,6.272798878
110,0,quad,N/A,SM-102,DSPC,12.56072079,22.03585478,6.915956019,1.029633898,8.850214429,7.166738156,12.17497462,9.847750583,0.417462615,3.612811392,8.654215408,12.07630058,8.654215408,12.07630058,7.076300578
111,0,quad,N/A,SM-102,DSPC,4.74625234,25.33078247,2.074657614,7.251480448,6.643056324,5.063714109,7.593838831,6.916343498,0.462412466,2.981199667,6.447057303,7.495164789,6.447057303,7.495164789,2.495164789
112,0,quad,N/A,SM-102,DSPC,12.14331071,21.98258594,41.26171714,7.194415916,11.39836453,12.42178339,15.77638973,13.80644873,0.41675341,4.668624029,11.20236551,15.67771569,11.20236551,15.67771569,10.67771569
113,0,quad,N/A,SM-102,DSPC,4.348972324,25.23066662,40.21264949,1.084754183,9.226901294,7.075312602,10.27138576,11.2587653,0.470270975,4.246971216,9.030902273,10.17271172,9.030902273,10.17271172,5.172711718
114,0,quad,N/A,SM-102,DSPC,5.229549341,88.07168479,58.40941019,0.454162943,8.622662638,7.367725668,10.75036746,9.621188225,0.44168707,3.721948362,8.426663617,10.65169342,8.426663617,10.65169342,5.651693418
115,0,quad,N/A,SM-102,DSPC,5.212242624,20.47914538,52.01592416,6.70330653,13.51467687,9.600149697,16.33492057,14.98374976,0.450641581,6.001950043,13.31867785,16.23624653,13.31867785,16.23624653,11.23624653
116,0,quad,N/A,SM-102,DSPC,6.853624706,65.02867329,2.695930756,3.46746327,10.56188451,7.870804935,12.89873465,12.23347152,0.447462212,4.638342052,10.36588549,12.80006061,10.36588549,12.80006061,7.800060608
117,0,quad,N/A,SM-102,DSPC,11.78338396,41.42511975,1.321285004,5.800971406,12.56716317,8.136879616,10.72966526,14.00908373,0.537826302,6.65353746,12.37116415,10.63099122,12.37116415,10.63099122,5.630991218
118,0,quad,N/A,SM-102,DSPC,6.545190646,20.04508946,19.95337581,1.226563301,12.82002253,12.32200723,15.97193334,14.82347066,0.442990428,5.592321578,12.62402351,15.8732593,12.62402351,15.8732593,10.8732593
119,0,quad,N/A,SM-102,DSPC,5.301862661,74.54774528,2.394676902,10.45777841,8.869689906,7.541203384,9.813395464,9.360014056,0.4716933,4.091321877,8.673690885,9.714721422,8.673690885,9.714721422,4.714721422
120,0,quad,N/A,SM-102,DSPC,5.892291867,25.1984844,65.85889519,10.52827278,6.765214365,6.608521529,9.636561574,8.644650069,0.407845867,2.67922733,6.569215344,9.537887532,6.569215344,9.537887532,4.537887532
121,0,quad,N/A,SM-102,DSPC,5.196926894,48.899178,89.19245318,4.884674398,6.454268011,6.443549829,9.374149547,8.139513739,0.402882189,2.521345112,6.25826899,9.275475505,6.25826899,9.275475505,4.275475505
122,0,quad,N/A,SM-102,DSPC,4.758993473,48.59253163,1.941069572,7.78349513,9.047928724,7.491713902,12.07992043,10.97563003,0.424895833,3.761148042,8.851929703,11.98124639,8.851929703,11.98124639,6.981246388
123,0,quad,N/A,SM-102,DSPC,4.520969927,64.39482187,2.077902657,1.082141882,12.214922,11.62779565,13.21850381,13.43046716,0.478103393,5.746287854,12.01892298,13.11982977,12.01892298,13.11982977,8.119829768
124,0,quad,N/A,SM-102,DSPC,4.955190306,20.00345473,53.81494513,4.304594135,10.05461718,9.201820781,13.09818455,11.52705366,0.431295943,4.251982015,9.858618159,12.99951051,9.858618159,12.99951051,7.999510508
125,0,quad,N/A,SM-102,DSPC,6.591477057,20.16197575,17.89671518,10.32352945,8.923562895,7.753000084,11.90372054,10.64696597,0.425058661,3.709726615,8.727563874,11.8050465,8.727563874,11.8050465,6.805046498
126,0,quad,N/A,SM-102,DSPC,8.972250855,25.29621263,88.02500789,8.332641456,8.168205484,6.926719823,10.13796986,9.573241401,0.44261752,3.52863825,7.972206463,10.03929582,7.972206463,10.03929582,5.039295818
127,0,quad,N/A,SM-102,DSPC,14.24928317,20.0022155,15.13896604,1.009185936,13.00954789,11.54467305,14.99152528,14.90091495,0.462476136,5.925960571,12.81354887,14.89285124,12.81354887,14.89285124,9.892851238
128,0,quad,N/A,SM-102,DSPC,12.98987669,49.88239419,1.080227665,15.6128387,8.983890737,7.318863076,10.58979179,10.51269375,0.455826931,4.00575771,8.787891716,10.49111775,8.787891716,10.49111775,5.491117748
129,0,quad,N/A,SM-102,DSPC,4.436141849,20.31056541,1.633899679,7.92277606,8.561221163,6.8409814,11.07597308,10.31993018,0.432478376,3.617777684,8.365222142,10.97729904,8.365222142,10.97729904,5.977299038
130,0,quad,N/A,SM-102,DSPC,5.201588542,64.67257311,1.002371882,15.32644506,7.416334992,5.920176479,9.322552206,8.758493048,0.439080634,3.170309697,7.220335971,9.223878164,7.220335971,9.223878164,4.223878164
131,0,quad,N/A,SM-102,DSPC,4.38924108,49.39497635,1.061217752,0.566464535,12.25460718,10.73046002,14.63873142,15.19456088,0.453353878,5.466816767,12.05860816,14.54005738,12.05860816,14.54005738,9.540057378
132,0,quad,N/A,SM-102,DSPC,5.720516438,20.00052066,47.47537039,15.55448956,8.146286262,6.338729007,9.394390573,9.924857572,0.460993013,3.665026869,7.950287241,9.295716531,7.950287241,9.295716531,4.295716531
133,0,quad,N/A,SM-102,DSPC,10.87369505,20.00074286,1.790774984,9.780442384,8.197607231,6.467293818,9.739119727,9.616766628,0.453553099,3.629154197,8.00160821,9.640445685,8.00160821,9.640445685,4.640445685
134,0,quad,N/A,SM-102,DSPC,4.394550223,22.00542571,1.003305021,14.04182105,8.190067423,6.74191989,9.881529831,9.554465344,0.449687939,3.594836144,7.994068402,9.782855789,7.994068402,9.782855789,4.782855789
