Formula_label,Iter,Opt_Method,Cell_Target,Ionizable_Lipid,Helper_lipid,NP_ratio,HL_IL+HL,IL+HL,PEG_PEG+Chol,SM-102_PcntMolar,18PG_PcntMolar,Cholesterol_PcntMolar,DMG-PEG2000_PcntMolar,LnRLU_RAMOS,LnRLU_DC,LnRLU_3T3,LnRLU_C2C12,LnRLU_Selectivity
163,3,DA,RAMOS,SM-102,18PG,20.09577662,45.97205189,9.683302931,0.334358575,41.52043884,4.451613048,53.84730103,0.180647077,8.441931496,8.359874722,9.508985523,5.617457203,0.613159013
164,3,DA,RAMOS,SM-102,18PG,16.07973852,45.92781232,14.11942849,0.644399805,39.4430677,6.484744618,53.72374661,0.348441072,8.919736777,8.381632014,8.750311445,6.454759523,1.05750245
165,3,DA,RAMOS,SM-102,18PG,19.22001893,63.64991925,22.09292089,0.649012845,49.58779294,14.06212631,36.11416406,0.235916693,8.458875489,9.630126418,7.316339875,6.639361583,0.596932864
166,3,DA,RAMOS,SM-102,18PG,33.56926194,58.83648228,28.00260255,0.597504237,42.36073599,16.47574629,40.91756396,0.245953762,8.30834333,7.211210744,4.751707559,5.402978534,2.519711051
167,3,DA,RAMOS,SM-102,18PG,18.94184428,37.97677002,12.48707366,0.55854077,33.23458277,4.742187246,61.67680495,0.346425026,8.700037546,9.39413922,8.608177196,8.456424623,-0.1195428
168,3,DA,RAMOS,SM-102,18PG,24.77964287,59.2035189,25.21304615,0.940582798,44.27650836,14.92701054,40.41275642,0.383724683,8.454960568,10.15028314,8.035413758,7.185545555,-0.00212025
169,3,NSGAII,RAMOS,SM-102,18PG,4.002183135,77.13321625,1.955544472,0.2002362,75.6248419,1.508374346,22.82099617,0.045787579,5.494175324,5.121223094,3.608143882,5.617457203,0.711900598
170,3,NSGAII,RAMOS,SM-102,18PG,6.934191993,87.920752,10.62881761,14.24659509,78.57581563,9.344936371,10.35836645,1.720881552,8.303334592,4.564680554,3.381762335,4.394314482,4.189748802
171,3,NSGAII,RAMOS,SM-102,18PG,7.623032759,71.0723388,11.74626406,7.511411991,62.72399421,8.348344589,26.75478539,2.172875812,8.834285014,5.770322608,4.165293577,5.134714548,3.810841436
172,3,NSGAII,RAMOS,SM-102,18PG,8.086834406,70.35796721,30.22327258,0.333559484,49.093487,21.26448021,29.54315898,0.098873812,7.836369555,8.263533968,6.052737268,5.521197205,1.223880075
173,3,NSGAII,RAMOS,SM-102,18PG,4.041308801,67.13892991,49.93911921,0.201422794,33.61033967,33.52859024,32.7948804,0.066189686,5.341706731,3.964888943,3.650344237,3.295702194,1.704728273
174,3,NSGAII,RAMOS,SM-102,18PG,4.002041363,91.10349082,10.01714724,3.99969733,81.97752,9.125970816,8.54067574,0.35583344,7.18737861,4.492956373,3.110166401,3.525276635,3.47791214
175,3,NSGAII,RAMOS,SM-102,18PG,4.000381641,68.90992693,1.001137701,10.62121955,68.22004367,0.689883258,27.78792815,3.302144919,5.001698839,3.719766485,4.494686139,4.705902076,0.694913939
176,3,NSGAII,RAMOS,SM-102,18PG,4.060961832,89.73908395,30.25390128,0.201447519,62.58951008,27.14957387,10.24024569,0.020670361,7.004406587,6.254344744,3.403153525,3.358222551,2.66583298
177,3,NSGAII,RAMOS,SM-102,18PG,4.001875037,74.19174962,1.032559294,5.175702098,73.42567581,0.766073806,24.47249222,1.335758156,4.754508128,4.230592108,4.229832099,5.410791074,0.130769701
178,3,NSGAII,RAMOS,SM-102,18PG,7.625827397,70.56406423,12.62081747,0.372243765,61.65830248,8.905761746,29.32636233,0.109573435,8.695935817,8.858957852,5.234676228,5.5177068,2.15882219
179,3,NSGAII,RAMOS,SM-102,18PG,6.626252609,86.73586924,10.97771768,10.41385983,77.21425039,9.521618852,11.88282277,1.381307985,8.318436057,5.571714751,3.370892663,4.713745253,3.766318501
180,3,NSGAII,RAMOS,SM-102,18PG,4.040786095,86.67936335,1.001056599,7.988226924,85.81165386,0.867709487,12.25655397,1.064082683,3.687148383,4.29513063,3.124251141,4.831528289,-0.396488304
