SORT_LNP,Formula_label,Opt_Method,Ionizable_Lipid,Helper_lipid,SORT_lipid,IL_NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),SORT_of_total,on_target
B90,HB_C90,N/A,SM_102,DOPE,18PG,3.96,80,1,0.2,0,6.797343142
B91,HB_C91,N/A,SM_102,DOPE,18PG,9.9,50,1,5,0,8.465904757
B92,HB_C92,N/A,SM_102,DOPE,18PG,6.93,50,1,5,0,7.944830031
B93,HB_C93,N/A,SM_102,DOPE,18PG,3.96,50,1,5,0,7.945351608
B94,HB_C94,N/A,SM_102,DOPE,18PG,9.9,50,1,1,0,7.59708001
B95,HB_C95,N/A,SM_102,DOPE,18PG,6.93,50,1,1,0,7.911545404
B96,HB_C96,N/A,SM_102,DOPE,18PG,3.96,50,1,1,0,6.556392544
B97,HB_C97,N/A,SM_102,DOPE,18PG,9.9,50,1,0.2,0,7.07891146
B98,HB_C98,N/A,SM_102,DOPE,18PG,6.93,50,1,0.2,0,7.136542886
B99,HB_C99,N/A,SM_102,DOPE,18PG,3.96,50,1,0.2,0,7.654655861
B100,HB_C100,N/A,SM_102,DOPE,18PG,9.9,20,1,5,0,8.056365791
B101,HB_C101,N/A,SM_102,DOPE,18PG,6.93,20,1,5,0,8.019543808
B102,HB_C102,N/A,SM_102,DOPE,18PG,3.96,20,1,5,0,7.861253489
B103,HB_C103,N/A,SM_102,DOPE,18PG,9.9,20,1,1,0,7.656740824
B104,HB_C104,N/A,SM_102,DOPE,18PG,6.93,20,1,1,0,7.661760588
B105,HB_C105,N/A,SM_102,DOPE,18PG,3.96,20,1,1,0,7.684798438
B106,HB_C106,N/A,SM_102,DOPE,18PG,9.9,20,1,0.2,0,6.972137995
B107,HB_C107,N/A,SM_102,DOPE,18PG,6.93,20,1,0.2,0,7.021074513
B108,HB_C108,N/A,SM_102,DOPE,18PG,3.96,20,1,0.2,0,6.916135441
B109,HB_C109,N/A,SM_102,DOPE,18PG,4.832039542,65.87472647,16.81737064,14.59921865,0,8.11931247
B110,HB_C110,N/A,SM_102,DOPE,18PG,5.00088197,57.93106228,25.15856878,6.269667125,0,9.456416476
B111,HB_C111,N/A,SM_102,DOPE,18PG,4.29682524,55.18568696,15.24489634,7.225757382,0,9.219472982
B112,HB_C112,N/A,SM_102,DOPE,18PG,4.076844227,56.73691422,23.42857774,13.92300093,0,9.055069321
B113,HB_C113,N/A,SM_102,DOPE,18PG,4.25441324,50.04343569,28.94618321,8.923704684,0,9.507554833
B114,HB_C114,N/A,SM_102,DOPE,18PG,5.046149554,72.43165106,20.91669343,13.4759632,0,7.405874908
B115,HB_C115,N/A,SM_102,DOPE,18PG,4.700937348,74.07746345,13.36162347,7.654751796,0,7.088362369
B116,HB_C116,N/A,SM_102,DOPE,18PG,5.090558399,53.38717222,20.74065991,7.813349134,0,7.650275791
B117,HB_C117,N/A,SM_102,DOPE,18PG,5.677400868,76.30905221,10.19078041,10.9985103,0,6.473222177
B118,HB_C118,N/A,SM_102,DOPE,18PG,4.025257355,78.36567819,27.00586902,12.47034364,0,7.454598273
B119,HB_C119,N/A,SM_102,DOPE,18PG,3.54631172,56.19235516,24.64048011,13.43195155,0,7.898138959
B120,HB_C120,N/A,SM_102,DOPE,18PG,4.853077891,72.42010079,25.00415319,14.13956946,0,7.309809861
B121,HB_C121,N/A,SM_102,DOPE,18PG,3.608505072,52.64641741,29.83481361,5.131132903,0,9.075474065
B122,HB_C122,N/A,SM_102,DOPE,18PG,3.630392214,57.46479049,29.62682409,6.311575522,0,9.009859038
B123,HB_C123,N/A,SM_102,DOPE,18PG,3.713891398,57.46116977,29.84607056,5.871019868,0,9.443133417
B124,HB_C124,N/A,SM_102,DOPE,18PG,3.798076114,56.87212912,29.99054189,6.98697512,0,9.284943261
B125,HB_C125,N/A,SM_102,DOPE,18PG,3.801074142,50.62734768,29.22874261,6.832229431,0,9.695342957
B126,HB_C126,N/A,SM_102,DOPE,18PG,3.674689721,55.89116544,29.82157379,7.136028142,0,9.731775419
B127,HB_C127,N/A,SM_102,DOPE,18PG,3.791094189,53.27146508,28.97336173,5.423621649,0,9.285609517
B128,HB_C128,N/A,SM_102,DOPE,18PG,3.815333809,54.07614973,29.65283453,5.462739376,0,9.455052371
B129,HB_C129,N/A,SM_102,DOPE,18PG,3.601639195,52.43788768,29.49076254,6.079995204,0,9.710602673
B130,HB_C130,N/A,SM_102,DOPE,18PG,3.784714027,55.06896119,29.25841866,6.330083182,0,9.455431828
B131,HB_C131,N/A,SM_102,DOPE,18PG,3.752216523,53.63441959,29.03933139,6.019292819,0,10.0878065
B132,HB_C132,N/A,SM_102,DOPE,18PG,3.751836623,55.55544065,29.37621788,5.857631713,0,9.654878279
B133,,N/A,SM-102,DOPE,18PG,7,73.68421053,0,0.2,24,10.80787904
B134,,N/A,SM-102,DOPE,18PG,10,66.66666667,0,0.2,40,6.753398232
B135,,N/A,SM-102,DOPE,18PG,4,18.36734694,0,1,2,10.67176722
B136,,N/A,SM-102,DOPE,18PG,4,41.17647059,0,0.2,15,7.758632094
B137,,N/A,SM-102,DOPE,18PG,7,49.74874372,0,1,0.5,10.52078292
B138,,N/A,SM-102,DOPE,18PG,7,18.36734694,0,1,2,10.39154426
B139,,N/A,SM-102,DOPE,18PG,7,41.17647059,0,0.2,15,10.38122056
B140,,N/A,SM-102,DOPE,18PG,7,47.36842105,0,1,5,10.37209906
B141,,N/A,SM-102,DOPE,18PG,10,18.36734694,0,1,2,10.30720469
B142,,N/A,SM-102,DOPE,18PG,10,73.68421053,0,0.2,24,10.27687951
B143,,N/A,SM-102,DOPE,18PG,10,49.74874372,0,1,0.5,10.2329562
B144,,N/A,SM-102,DOPE,18PG,7,11.11111111,0,0.2,10,10.1897614
B145,,N/A,SM-102,DOPE,18PG,4,14.89361702,0,1,6,10.17629461
B146,,N/A,SM-102,DOPE,18PG,4,41.17647059,0,1,15,10.17470118
