Formula_label,Opt_Method,Iter,Cell_Target,NP_ratio,HL_IL+HL,IL+HL,PEG_PEG+Chol
150,NSGAII,3,RAMOS,4.484298685,72.14902867,61.90215729,2.95948656
151,NSGAII,3,RAMOS,6.818773947,46.66441751,54.6476602,2.529442158
152,NSGAII,3,RAMOS,4.014019931,72.82063279,52.37831844,3.576395693
153,NSGAII,3,RAMOS,4.048043811,46.38408976,62.0524882,2.541735124
154,NSGAII,3,RAMOS,14.56152596,26.33132334,52.38042825,3.187268261
155,NSGAII,3,RAMOS,24.62797804,26.59252209,55.14202393,0.539572265
156,NSGAII,3,RAMOS,4.464319449,58.47652966,52.4603137,4.274326785
157,NSGAII,3,RAMOS,4.043561063,75.13931146,69.05893243,4.354433591
158,NSGAII,3,RAMOS,4.045830693,46.83730679,52.77456762,6.278305505
159,NSGAII,3,RAMOS,4.500202706,33.36334052,62.045801,2.496370363
160,NSGAII,3,RAMOS,5.038071614,33.90309012,52.54886248,6.329812451
161,NSGAII,3,RAMOS,5.806968171,72.09825743,52.38279854,4.212329711
162,NSGAII,3,RAMOS,6.872061424,54.42482611,52.63523798,2.518431221
163,NSGAII,3,RAMOS,5.779083061,73.13979274,62.08296154,4.348773815
164,NSGAII,3,RAMOS,4.475305043,23.34930541,51.75177389,6.108360844
165,NSGAII,3,RAMOS,5.808384464,45.91610377,61.87946667,2.525898284
166,NSGAII,3,RAMOS,6.818773947,26.3171337,54.6476602,2.574042894
167,NSGAII,3,RAMOS,4.01239791,26.50766144,52.40025834,2.559780846
168,NSGAII,3,RAMOS,5.779760017,58.42719035,52.75889754,2.941595196
169,NSGAII,3,RAMOS,4.738578707,75.40173158,52.63069951,9.186561443
170,NSGAII,3,RAMOS,5.792295459,72.35427547,52.56728583,2.631139068
171,NSGAII,3,RAMOS,4.01534415,59.97757841,52.52669847,2.817525166
172,NSGAII,3,RAMOS,5.808384464,73.33706044,62.05555241,2.56359228
173,NSGAII,3,RAMOS,4.000010007,36.46092096,51.05479062,5.918150474
174,NSGAII,3,RAMOS,4.500202706,39.67446667,62.045801,2.515836095
175,NSGAII,3,RAMOS,4.469439929,74.60358157,61.90312861,4.217671959
176,NSGAII,3,RAMOS,6.875905666,74.90579832,52.65786724,4.303855227
177,NSGAII,3,RAMOS,4.465041758,75.51842092,52.60807035,2.56156141
178,NSGAII,3,RAMOS,4.754030455,23.51629236,52.71956452,7.304791775
179,NSGAII,3,RAMOS,4.984330094,72.32619127,52.33562283,7.880499378
180,NSGAII,3,RAMOS,5.797398975,74.45562869,67.56239257,4.284880251
181,NSGAII,3,RAMOS,5.778153459,54.17717396,52.3554689,2.528344627
182,DA,3,THP1,21.41164902,9.111128494,65.97007772,0.418858552
183,DA,3,THP1,21.40296212,1.022686134,66.01742633,0.199930592
184,DA,3,THP1,25.43545933,1.904355611,65.10566303,0.201527483
185,DA,3,THP1,25.41679971,1.018500173,65.27781417,0.201162419
186,DA,3,THP1,25.48710674,6.972446519,66.59798893,0.420065808
187,DA,3,THP1,25.32485954,1.87131012,65.13519015,0.199902554
188,DA,3,THP1,25.31734337,1.031216039,65.22476171,0.201553247
189,DA,3,THP1,21.4040067,5.636053029,65.6070695,0.422846299
190,DA,3,THP1,25.43795963,8.180838299,66.5693376,0.425077778
191,DA,3,THP1,25.42828295,7.411593596,66.20370304,0.421992265
192,DA,3,THP1,25.42363869,1.016942888,65.3292296,0.201129855
193,DA,3,THP1,25.4743186,1.016756028,65.51671998,0.200091018
194,DA,3,THP1,25.47832873,1.026957065,65.10179563,0.200632186
195,DA,3,THP1,24.69264904,1.022355956,65.8681247,0.200834796
196,DA,3,THP1,21.38617469,9.85114751,66.05280983,0.424905953
197,DA,3,THP1,25.33544533,6.484762873,65.82986703,0.420646391
198,DA,3,THP1,25.28092808,8.204370146,65.42890347,0.418637365
199,DA,3,THP1,25.3388323,8.181843863,65.7502985,0.421186968
200,DA,3,THP1,25.54105283,1.032810388,65.67405584,0.270837827
201,DA,3,THP1,25.56257961,2.086827216,65.39026438,0.20058295
202,DA,3,THP1,25.28190106,8.075668328,65.91588268,0.419702683
203,DA,3,THP1,25.30314455,1.706483448,65.30082573,0.200304878
204,DA,3,THP1,21.41985721,1.020731789,65.77720089,0.200581402
205,DA,3,THP1,21.39648697,6.385462324,66.49129735,0.42532281
206,DA,3,THP1,21.40387566,1.07251317,64.9823741,0.201301213
207,DA,3,THP1,25.35059129,9.386548845,66.5475551,0.423538901
208,DA,3,THP1,21.40023645,1.054607486,65.43487261,0.199713927
209,DA,3,THP1,25.50088248,8.785132293,65.85530162,0.4231698
210,DA,3,THP1,21.39289341,6.960502378,65.37320517,0.42434934
211,DA,3,THP1,25.32314991,5.854158378,66.05214729,0.423790057
212,DA,3,THP1,25.44928905,9.70444666,65.75826813,0.420343019
213,DA,3,THP1,21.41284925,8.913500615,65.34793205,0.419506891
214,DA,3,THP1,21.51737226,1.031593907,65.48984032,0.199852881
215,DA,3,THP1,25.30303215,1.63955726,65.1461795,0.200995129
216,DA,3,THP1,21.39206885,7.820057568,66.45839208,0.4170008
217,DA,3,THP1,25.44844897,8.381597718,65.05569233,0.200544566
218,DA,3,THP1,23.0658486,1.008246743,65.17031911,0.200680936
219,DA,3,THP1,21.42279298,5.71688145,66.00442972,0.418043134
220,DA,3,THP1,21.40624431,1.013714996,65.43082811,0.201583092
221,DA,3,THP1,21.41955477,9.162252219,65.57860006,0.424985591
222,DA,3,THP1,25.50058848,1.044673411,65.57257749,0.421851708
223,DA,3,THP1,21.38946153,5.616357051,65.99071981,0.201124765
224,DA,3,THP1,25.28198128,5.964796507,65.50771488,0.423945385
225,DA,3,THP1,25.43253708,9.454930272,66.06969554,0.421043255
226,DA,3,THP1,21.42188678,5.875345685,66.52758513,0.423133998
227,DA,3,THP1,25.56474955,5.608414711,66.67425582,0.209286161
228,DA,3,THP1,25.53362396,6.264402838,65.93475169,0.20065911
229,DA,3,THP1,25.47724095,1.025192846,65.0564676,0.20020301
230,DA,3,THP1,21.40501079,1.032691062,65.82788109,0.201081616
231,DA,3,THP1,25.50557502,1.014385032,65.01388532,0.200752197
232,NSGAII,3,THP1,21.39601339,1.004391652,65.43933502,0.199601503
233,NSGAII,3,THP1,5.42004124,1.017796323,91.18978103,0.206968808
234,NSGAII,3,THP1,12.18431795,1.004977658,75.56327392,0.201930111
235,NSGAII,3,THP1,7.007140285,1.027363655,76.37098343,0.206893114
236,NSGAII,3,THP1,23.2927501,1.008853681,75.6483941,0.199603116
237,NSGAII,3,THP1,5.765537539,1.002944976,83.2929885,0.206968808
238,NSGAII,3,THP1,21.38675809,1.00272519,75.570009,0.199973666
239,NSGAII,3,THP1,5.854610668,1.012775263,76.2036239,0.207232743
240,NSGAII,3,THP1,22.40096706,1.003938184,75.62157499,0.199601527
241,NSGAII,3,THP1,22.03168449,1.017666242,63.85289477,0.199637589
242,NSGAII,3,THP1,5.765537539,1.002944976,92.86289916,0.206968808
243,NSGAII,3,THP1,21.89063105,1.025898204,75.66126672,0.199600841
244,NSGAII,3,THP1,21.41333468,1.014326454,63.90801895,0.199605153
245,NSGAII,3,THP1,22.84905384,1.01384513,75.58461594,0.199612776
246,NSGAII,3,THP1,22.14529348,1.008005931,75.494118,0.199839996
247,NSGAII,3,THP1,5.690530088,1.005398183,92.08885545,0.207345806
248,NSGAII,3,THP1,22.62470001,1.000113009,75.57478995,0.199602082
249,NSGAII,3,THP1,23.07419473,1.029804086,75.61543261,0.199610983
250,NSGAII,3,THP1,21.41769563,1.001499918,65.85745262,0.201880979
251,NSGAII,3,THP1,22.02067767,1.014328857,75.64221441,0.208787102
252,NSGAII,3,THP1,22.26053981,1.010104978,75.66668305,0.199608473
253,NSGAII,3,THP1,23.19061126,1.004841656,75.4614635,0.199600945
254,NSGAII,3,THP1,21.96818112,1.006204274,64.15617152,0.201983636
255,NSGAII,3,THP1,22.51595152,1.008419721,75.46109838,0.199601185
256,NSGAII,3,THP1,22.96054048,1.003812837,75.66566934,0.199714308
257,NSGAII,3,THP1,22.7368816,1.004305207,75.57429115,0.199707953
258,NSGAII,3,THP1,5.765537539,1.002944976,92.28548877,0.206968808
259,NSGAII,3,THP1,21.95468734,1.028144239,75.47822028,0.199609066
260,NSGAII,3,THP1,21.41773985,1.006035235,64.15617152,0.201983636
261,NSGAII,3,THP1,22.06711387,1.004841656,75.45965937,0.199600982
262,NSGAII,3,THP1,22.55817008,1.010504085,75.67292064,0.199602015
263,NSGAII,3,THP1,22.47253271,1.007576364,75.6480222,0.1996857
264,NSGAII,3,THP1,23.15026183,1.020258419,75.65030118,0.19988679
265,NSGAII,3,THP1,22.09894143,1.006616692,75.66496754,0.200171025
266,NSGAII,3,THP1,23.02046741,1.004971506,75.47671381,0.19960992
267,NSGAII,3,THP1,22.93135806,1.003850272,75.4690276,0.200027429
268,NSGAII,3,THP1,22.2127098,1.026181953,75.46595629,0.199603795
269,NSGAII,3,THP1,22.18633928,1.003563645,75.6555307,0.199620539
270,NSGAII,3,THP1,22.79061206,1.004583014,75.46751878,0.199621564
271,NSGAII,3,THP1,22.79183277,1.002774323,75.67430191,0.199614864
272,NSGAII,3,THP1,23.2515292,1.01918826,75.49812112,0.199712425
273,NSGAII,3,THP1,12.13091856,1.009797353,75.65825408,0.199602438
274,NSGAII,3,THP1,21.96254795,1.007784899,75.66536223,0.201955138
275,NSGAII,3,THP1,22.67982157,1.015201127,75.6383524,0.199600853
276,NSGAII,3,THP1,21.90082671,1.026109603,75.47223891,0.199608305
277,NSGAII,3,THP1,23.02365352,1.008815823,75.66254338,0.199616705
278,NSGAII,3,THP1,22.90768328,1.005763709,75.67128151,0.199616938
279,NSGAII,3,THP1,22.00959526,1.015497029,64.00484132,0.199600871
280,NSGAII,3,THP1,22.56567705,1.010692247,75.50680383,0.19960092
281,NSGAII,3,THP1,22.46295192,1.006568186,75.48777943,0.19995092
282,DA,Top,RAMOS,25.0564263,26.5947822,52.70352078,1.090118105
283,NSGAII,Top,RAMOS,4.996358131,56.09336495,52.40123117,7.631056393
284,DA,Top,THP1,21.41164902,9.111128494,65.97007772,0.418858552
285,NSGAII,Top,THP1,12.18431795,1.004977658,75.56327392,0.201930111
