Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_HEPG2
56,N/A,0,SM-102,DSPC,10,80,10,5,3.988660995
57,N/A,0,SM-102,DSPC,7,80,10,5,3.453826075
58,N/A,0,SM-102,DSPC,4,80,10,5,2.850432253
59,N/A,0,SM-102,DSPC,10,80,10,1,5.200324295
60,N/A,0,SM-102,DSPC,7,80,10,1,5.000371555
61,N/A,0,SM-102,DSPC,4,80,10,1,3.320294685
62,N/A,0,SM-102,DSPC,10,80,10,0.2,3.487704745
63,N/A,0,SM-102,DSPC,7,80,10,0.2,3.105004425
64,N/A,0,SM-102,DSPC,4,80,10,0.2,3.981518535
65,N/A,0,SM-102,DSPC,10,50,10,5,7.166580785
66,N/A,0,SM-102,DSPC,7,50,10,5,7.227993615
67,N/A,0,SM-102,DSPC,4,50,10,5,7.175754395
68,N/A,0,SM-102,DSPC,10,50,10,1,9.112706345
69,N/A,0,SM-102,DSPC,7,50,10,1,8.627787675
70,N/A,0,SM-102,DSPC,4,50,10,1,8.278949665
71,N/A,0,SM-102,DSPC,10,50,10,0.2,8.966572585
72,N/A,0,SM-102,DSPC,7,50,10,0.2,8.856257295
73,N/A,0,SM-102,DSPC,4,50,10,0.2,8.590891595
74,N/A,0,SM-102,DSPC,10,20,10,5,5.889092735
75,N/A,0,SM-102,DSPC,7,20,10,5,6.428119295
76,N/A,0,SM-102,DSPC,4,20,10,5,6.724025395
77,N/A,0,SM-102,DSPC,10,20,10,1,7.913468825
78,N/A,0,SM-102,DSPC,7,20,10,1,7.852665545
79,N/A,0,SM-102,DSPC,4,20,10,1,7.398798325
80,N/A,0,SM-102,DSPC,10,20,10,0.2,9.413878445
81,N/A,0,SM-102,DSPC,7,20,10,0.2,7.309828535
82,N/A,0,SM-102,DSPC,4,20,10,0.2,9.162538715
83,N/A,0,SM-102,DSPC,10,80,1,5,4.265975875
84,N/A,0,SM-102,DSPC,7,80,1,5,3.622230995
85,N/A,0,SM-102,DSPC,4,80,1,5,2.674416076
86,N/A,0,SM-102,DSPC,10,80,1,1,5.398784565
87,N/A,0,SM-102,DSPC,7,80,1,1,5.380828705
88,N/A,0,SM-102,DSPC,4,80,1,1,4.447723395
89,N/A,0,SM-102,DSPC,10,80,1,0.2,5.235836545
90,N/A,0,SM-102,DSPC,7,80,1,0.2,5.049857665
91,N/A,0,SM-102,DSPC,4,80,1,0.2,3.934591535
92,N/A,0,SM-102,DSPC,10,50,1,5,5.971947605
93,N/A,0,SM-102,DSPC,7,50,1,5,5.720633175
94,N/A,0,SM-102,DSPC,4,50,1,5,5.564904225
95,N/A,0,SM-102,DSPC,10,50,1,1,7.781059705
96,N/A,0,SM-102,DSPC,7,50,1,1,7.799291825
97,N/A,0,SM-102,DSPC,4,50,1,1,3.012725255
98,N/A,0,SM-102,DSPC,10,50,1,0.2,8.349813855
99,N/A,0,SM-102,DSPC,7,50,1,0.2,8.214029115
100,N/A,0,SM-102,DSPC,4,50,1,0.2,8.014285495
101,N/A,0,SM-102,DSPC,10,20,1,5,5.962272805
102,N/A,0,SM-102,DSPC,7,20,1,5,5.476478595
103,N/A,0,SM-102,DSPC,4,20,1,5,5.706590815
104,N/A,0,SM-102,DSPC,10,20,1,1,5.465796005
105,N/A,0,SM-102,DSPC,7,20,1,1,5.480918825
106,N/A,0,SM-102,DSPC,4,20,1,1,5.617925185
107,N/A,0,SM-102,DSPC,10,20,1,0.2,5.710479355
108,N/A,0,SM-102,DSPC,7,20,1,0.2,5.774033665
109,N/A,0,SM-102,DSPC,4,20,1,0.2,4.868676405
110,quad,0,SM-102,DSPC,4.919292154,80.44226923,65.43243245,5.633056837,4.357701865
111,quad,0,SM-102,DSPC,12.56072079,22.03585478,6.915956019,1.029633898,5.161203565
112,quad,0,SM-102,DSPC,4.74625234,25.33078247,2.074657614,7.251480448,0.580067776
113,quad,0,SM-102,DSPC,12.14331071,21.98258594,41.26171714,7.194415916,8.762618675
114,quad,0,SM-102,DSPC,4.348972324,25.23066662,40.21264949,1.084754183,3.257614705
115,quad,0,SM-102,DSPC,5.229549341,88.07168479,58.40941019,0.454162943,3.736596405
116,quad,0,SM-102,DSPC,5.212242624,20.47914538,52.01592416,6.70330653,9.321149515
117,quad,0,SM-102,DSPC,6.853624706,65.02867329,2.695930756,3.46746327,5.884963595
118,quad,0,SM-102,DSPC,11.78338396,41.42511975,1.321285004,5.800971406,3.715894205
119,quad,0,SM-102,DSPC,6.545190646,20.04508946,19.95337581,1.226563301,8.958162285
120,quad,0,SM-102,DSPC,5.301862661,74.54774528,2.394676902,10.45777841,2.799624409
121,quad,0,SM-102,DSPC,5.892291867,25.1984844,65.85889519,10.52827278,2.622790519
122,quad,0,SM-102,DSPC,5.196926894,48.899178,89.19245318,4.884674398,2.360378492
123,quad,0,SM-102,DSPC,4.758993473,48.59253163,1.941069572,7.78349513,5.066149375
124,quad,0,SM-102,DSPC,4.520969927,64.39482187,2.077902657,1.082141882,6.204732755
125,quad,0,SM-102,DSPC,4.955190306,20.00345473,53.81494513,4.304594135,6.084413495
126,quad,0,SM-102,DSPC,6.591477057,20.16197575,17.89671518,10.32352945,4.889949485
127,quad,0,SM-102,DSPC,8.972250855,25.29621263,88.02500789,8.332641456,3.124198805
128,quad,0,SM-102,DSPC,14.24928317,20.0022155,15.13896604,1.009185936,7.977754225
129,quad,0,SM-102,DSPC,12.98987669,49.88239419,1.080227665,15.6128387,3.576020735
130,quad,0,SM-102,DSPC,4.436141849,20.31056541,1.633899679,7.92277606,4.062202025
131,quad,0,SM-102,DSPC,5.201588542,64.67257311,1.002371882,15.32644506,2.308781151
132,quad,0,SM-102,DSPC,4.38924108,49.39497635,1.061217752,0.566464535,7.624960365
133,quad,0,SM-102,DSPC,5.720516438,20.00052066,47.47537039,15.55448956,2.380619518
134,quad,0,SM-102,DSPC,10.87369505,20.00074286,1.790774984,9.780442384,2.725348672
135,quad,0,SM-102,DSPC,4.394550223,22.00542571,1.003305021,14.04182105,2.867758776
136,quad,0,SM-102,DSPC,9.232962676,43.2248516,1.010982512,5.441540843,4.738638055
137,MO,0,SM-102,DSPC,9.002044382,20.00000308,16.65435838,0.477590223,9.663273905
138,MO,0,SM-102,DSPC,11.96920045,42.58505017,1.443055259,5.685163661,4.639717322
139,MO,0,SM-102,DSPC,4.937286054,20.00000054,16.29212021,0.481141499,8.604759501
140,MO,0,SM-102,DSPC,12.5571625,20.00000009,1.35729106,0.746351216,7.534309423
141,MO,0,SM-102,DSPC,11.98066785,20.00003991,1.329607624,5.798669171,3.99623946
142,SO,0,SM-102,DSPC,11.97831,21.80244,33.11976,6.251056,5.351088853
143,SO,0,SM-102,DSPC,12.32386,20.08868,27.90927,0.571112,9.299808258
144,SO,0,SM-102,DSPC,11.98652,21.06642,37.99319,7.092342,5.28347081
145,SO,0,SM-102,DSPC,12.05481,20.01895,18.85935,0.809778,9.093253103
146,SO,0,SM-102,DSPC,9.211139,20.0003,18.72326,0.803894,9.160201614
147,MO,0,SM-102,DSPC,6.279867148,20.0000008,15.64182211,0.517372067,8.22741232
148,MO,0,SM-102,DSPC,6.296342365,20.00000184,1.00002702,22.06260504,3.43041232
149,MO,0,SM-102,DSPC,4.603673162,74.748184,1.000001614,9.97956289,3.05441232
150,MO,0,SM-102,DSPC,4.525299513,25.16310809,1.000010095,11.29223043,2.72341232
151,MO,0,SM-102,DSPC,6.098981832,40.31687192,1.000206908,16.56618189,2.48041232
152,SO,0,SM-102,DSPC,28.43580087,20.00044501,24.79553656,0.928105477,7.82841232
153,SO,0,SM-102,DSPC,32.32215068,20.00183246,22.61372429,0.62241835,7.79441232
154,SO,0,SM-102,DSPC,20.47934214,20.01210597,16.37248117,0.971439065,7.16241232
155,SO,0,SM-102,DSPC,17.89712661,20.01502011,22.13928053,0.992833938,7.85041232
156,SO,0,SM-102,DSPC,10.82142219,20.12734312,23.96090789,0.486055845,7.89041232
157,MO,0,SM-102,DSPC,4.837891,42.3039,1.910757,10.59721,3.67291232
158,MO,0,SM-102,DSPC,40.77384,42.42788,2.016498,7.580691,4.46491232
159,MO,0,SM-102,DSPC,5.388958,20.00002,2.062696,29.51383,2.87991232
160,MO,0,SM-102,DSPC,19.52035,21.45652,2.03501,7.787085,3.52891232
161,MO,0,SM-102,DSPC,4.433352,20,16.23404,0.807818,8.49991232
162,SO,0,SM-102,DSPC,4.729987946,20.02489015,18.27411066,0.492107672,8.81091232
163,SO,0,SM-102,DSPC,4.930919945,20.08757696,23.64763395,0.788137695,9.05591232
164,SO,0,SM-102,DSPC,8.973242379,20.00001834,21.73144842,0.657253419,9.18591232
165,SO,0,SM-102,DSPC,8.991510748,20.00000148,16.26601278,0.826320152,8.76791232
166,i-optimal,1,SM-102,DSPC,4.727,36.977,25.351,8.888,10.81065154
167,i-optimal,1,SM-102,DSPC,4.626,29.87,25.169,14.904,8.885102811
168,i-optimal,1,SM-102,DSPC,4.706,32.901,23.878,8.364,11.16418163
169,i-optimal,1,SM-102,DSPC,5.123,36.625,23.948,11.268,9.240318322
170,i-optimal,1,SM-102,DSPC,3.815,31.652,24.166,11.452,8.874190512
171,i-optimal,1,SM-102,DSPC,4.16,20.261,24.89,7.459,4.525445773
172,i-optimal,1,SM-102,DSPC,3.958,27.439,25.054,9.075,9.490112601
173,i-optimal,1,SM-102,DSPC,4.873,24.025,23.443,6.084,7.867109628
174,i-optimal,1,SM-102,DSPC,5.005,37.575,23.297,9.409,10.66546412
175,i-optimal,1,SM-102,DSPC,4.885,21.992,23.376,11.829,8.458498419
176,NSGAII,1,SM-102,DSPC,4.165,33.14,28.162,3.879,10.64609592
177,NSGAII,1,SM-102,DSPC,4.178,26.002,14.174,3.955,11.56651685
178,NSGAII,1,SM-102,DSPC,4.189,37.733,15.782,3.926,11.1408206
179,NSGAII,1,SM-102,DSPC,4.122,35.241,13.81,1.395,8.787568692
180,NSGAII,1,SM-102,DSPC,4.177,25.186,27.279,3.879,9.893940416
181,NSGAII,1,SM-102,DSPC,4.159,37.597,23.324,3.987,10.07216215
182,NSGAII,1,SM-102,DSPC,4.12,28.076,13.778,1.39,6.613407561
183,NSGAII,1,SM-102,DSPC,4.189,31.605,16.117,3.795,10.04440955
184,NSGAII,1,SM-102,DSPC,4.167,37.898,28.112,3.827,9.033885296
185,NSGAII,1,SM-102,DSPC,4.157,29.263,27.647,3.938,9.745995193
186,N/A,1,SM-102,DSPC,6,60,16.66667,3.75,6.137877343
187,N/A,1,SM-102,DSPC,6.858764172,61.20785132,28.85595517,4.903677225,3.673533942
188,N/A,1,SM-102,DSPC,6.002865642,62.11306344,17.04948642,4.925478792,5.833792934
189,i-optimal,2,SM-102,DSPC,4.496,78.795,24.888,6.896,4.01634654
190,i-optimal,2,SM-102,DSPC,3.806,63.661,36.577,4.94,5.485936278
191,i-optimal,2,SM-102,DSPC,4.383,73.11,25.324,7.411,5.126390406
192,i-optimal,2,SM-102,DSPC,4.781,87.726,37.667,8.197,2.025808236
193,i-optimal,2,SM-102,DSPC,4.014,60.442,27.409,7.782,5.940352656
194,i-optimal,2,SM-102,DSPC,5.002,86.261,34.958,6.544,2.258448043
195,i-optimal,2,SM-102,DSPC,5.159,77.988,27.19,7.936,4.026188891
196,i-optimal,2,SM-102,DSPC,5.133,72.7,33.417,7.713,4.954561044
197,i-optimal,2,SM-102,DSPC,3.623,33.229,33.2,7.113,7.147874316
198,i-optimal,2,SM-102,DSPC,3.977,34.186,36.861,7.035,7.252670076
199,NSGAII,2,SM-102,DSPC,4.884,46.974,19.258,8.586,7.247873424
200,NSGAII,2,SM-102,DSPC,3.867,23.939,1.473,36.323,5.783631058
201,NSGAII,2,SM-102,DSPC,3.873,22.94,50.17,31.714,4.920440443
202,NSGAII,2,SM-102,DSPC,4.162,24.606,49.746,10.686,6.308735266
203,NSGAII,2,SM-102,DSPC,4.222,22.649,1.008,10.127,2.545136683
204,NSGAII,2,SM-102,DSPC,4.323,37.048,0.527,3.887,5.626798394
205,NSGAII,2,SM-102,DSPC,3.579,37.56,0.914,8.462,5.929180604
206,NSGAII,2,SM-102,DSPC,4.874,24.606,49.412,8.616,6.359682613
207,NSGAII,2,SM-102,DSPC,4.161,37.247,0.488,10.569,5.573355925
208,NSGAII,2,SM-102,DSPC,4.867,37.084,19.258,8.586,7.040950406
209,N/A,2,SM-102,DSPC,6,60,16.66667,3.75,6.137877343
210,N/A,2,SM-102,DSPC,6.858764172,61.20785132,28.85595517,4.903677225,3.848877364
211,N/A,2,SM-102,DSPC,6.002865642,62.11306344,17.04948642,4.925478792,5.604198852
212,i-optimal,3,SM-102,DSPC,3.957,83.868,16.866,68.057,1.901867975
213,i-optimal,3,SM-102,DSPC,3.761,93.469,40.11,46.494,-0.656477928
214,i-optimal,3,SM-102,DSPC,3.349,89.337,44.884,70.099,0.299049142
215,i-optimal,3,SM-102,DSPC,3.333,82.648,38.942,87.399,0.620843248
216,i-optimal,3,SM-102,DSPC,3.375,88.883,38.008,79.313,0.475639609
217,i-optimal,3,SM-102,DSPC,3.488,91.069,46.907,67.477,0.704282742
218,i-optimal,3,SM-102,DSPC,3.526,96.074,43.712,40.813,0.469289918
219,i-optimal,3,SM-102,DSPC,3.452,92.735,47.134,24.948,0.337618602
220,i-optimal,3,SM-102,DSPC,3.662,94.199,44.739,74.436,0.279058998
221,i-optimal,3,SM-102,DSPC,3.775,80.579,41.317,53.982,1.48946695
222,NSGAII,3,SM-102,DSPC,3.789,97.147,20.69,15.466,2.709179862
223,NSGAII,3,SM-102,DSPC,4.972,37.815,35.211,9.359,9.239942938
224,NSGAII,3,SM-102,DSPC,3.968,48.722,34.642,15.464,6.828315901
225,NSGAII,3,SM-102,DSPC,3.798,88.822,20.597,8.378,0.560010179
226,NSGAII,3,SM-102,DSPC,4.184,87.111,15.345,15.551,-0.353009413
227,NSGAII,3,SM-102,DSPC,4.593,37.837,34.658,15.4,4.593116982
228,NSGAII,3,SM-102,DSPC,4.193,97.359,14.219,15.37,1.251986497
229,NSGAII,3,SM-102,DSPC,4.679,37.862,28.592,9.038,7.451587148
230,NSGAII,3,SM-102,DSPC,3.955,41.267,33.315,15.376,6.617766975
231,NSGAII,3,SM-102,DSPC,3.814,87.111,20.139,15.551,1.026287382
232,N/A,3,SM-102,DSPC,6,60,16.66667,3.75,6.137877343
