Formula_label,FALCON_ID,Iter,Opt_Method,Max_Cell_Target,Ionizable_lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,SM102_PcntMolar,18PG_PcntMolar,Cholesterol_PcntMolar,DMGPEG_PcntMolar,nLnLE_RAMOS,nLnLE_HEPG2,nLnLE_Selectivity
58,F1058,0,N/A,N/A,SM-102,18PG,10,79.6,7.7,1,73.5,6.1,20.2,0.2,3.201699275,4.281760093,-1.080060818
59,F1059,0,N/A,N/A,SM-102,18PG,7,79.6,7.7,1,73.5,6.1,20.2,0.2,3.314159424,3.456310668,-0.142151245
60,F1060,0,N/A,N/A,SM-102,18PG,4,79.6,7.7,1,73.5,6.1,20.2,0.2,2.449396041,3.265818033,-0.816421992
61,F1061,0,N/A,N/A,SM-102,18PG,10,79.6,7.7,0.2,73.5,6.1,20.4,0,3.081882033,2.068717539,1.013164494
62,F1062,0,N/A,N/A,SM-102,18PG,7,79.6,7.7,0.2,73.5,6.1,20.4,0,2.947551045,2.992816637,-0.045265591
63,F1063,0,N/A,N/A,SM-102,18PG,4,79.6,7.7,0.2,73.5,6.1,20.4,0,2.936598221,3.159737196,-0.223138975
64,F1064,0,N/A,N/A,SM-102,18PG,10,49.4,7.7,5,45.6,3.8,48.1,2.5,2.545663149,5.293073822,-2.747410673
65,F1065,0,N/A,N/A,SM-102,18PG,7,49.4,7.7,5,45.6,3.8,48.1,2.5,2.746244956,6.172315849,-3.426070893
66,F1066,0,N/A,N/A,SM-102,18PG,4,49.4,7.7,5,45.6,3.8,48.1,2.5,3.087461366,5.704952144,-2.617490778
67,F1067,0,N/A,N/A,SM-102,18PG,10,49.4,7.7,1,45.6,3.8,50.1,0.5,3.310407074,6.187850641,-2.877443567
68,F1068,0,N/A,N/A,SM-102,18PG,7,49.4,7.7,1,45.6,3.8,50.1,0.5,3.985888243,7.091409571,-3.105521328
69,F1069,0,N/A,N/A,SM-102,18PG,4,49.4,7.7,1,45.6,3.8,50.1,0.5,3.781350112,6.522168281,-2.74081817
70,F1070,0,N/A,N/A,SM-102,18PG,10,49.4,7.7,0.2,45.6,3.8,50.5,0.1,3.607002608,8.661211444,-5.054208836
71,F1071,0,N/A,N/A,SM-102,18PG,7,49.4,7.7,0.2,45.6,3.8,50.5,0.1,3.688594117,8.35825842,-4.669664303
72,F1072,0,N/A,N/A,SM-102,18PG,4,49.4,7.7,0.2,45.6,3.8,50.5,0.1,3.427882276,7.345853326,-3.917971051
73,F1073,0,N/A,N/A,SM-102,18PG,10,19.6,7.7,5,18.1,1.5,76.4,4,1.865943523,5.598358717,-3.732415194
74,F1074,0,N/A,N/A,SM-102,18PG,7,19.6,7.7,5,18.1,1.5,76.4,4,2.470148095,5.625326107,-3.155178013
75,F1075,0,N/A,N/A,SM-102,18PG,4,19.6,7.7,5,18.1,1.5,76.4,4,3.083819729,6.073008045,-2.989188317
76,F1076,0,N/A,N/A,SM-102,18PG,10,19.6,7.7,1,18.1,1.5,79.6,0.8,3.920993871,8.279274203,-4.358280333
77,F1077,0,N/A,N/A,SM-102,18PG,7,19.6,7.7,1,18.1,1.5,79.6,0.8,4.005333439,8.431173564,-4.425840125
78,F1078,0,N/A,N/A,SM-102,18PG,4,19.6,7.7,1,18.1,1.5,79.6,0.8,3.871369004,8.261593477,-4.390224473
79,F1079,0,N/A,N/A,SM-102,18PG,10,19.6,7.7,0.2,18.1,1.5,80.2,0.2,3.424710467,7.407028105,-3.982317639
80,F1080,0,N/A,N/A,SM-102,18PG,7,19.6,7.7,0.2,18.1,1.5,80.2,0.2,3.14113807,7.791921273,-4.650783204
81,F1081,0,N/A,N/A,SM-102,18PG,4,19.6,7.7,0.2,18.1,1.5,80.2,0.2,3.249760193,7.505910315,-4.256150122
82,F1082,0,N/A,N/A,SM-102,18PG,10,80,0.8,5,79.4,0.6,19,1,0.217851803,2.018461659,-1.800609856
83,F1083,0,N/A,N/A,SM-102,18PG,7,80,0.8,5,79.4,0.6,19,1,-0.592457366,2.302122642,-2.894580008
84,F1084,0,N/A,N/A,SM-102,18PG,4,80,0.8,5,79.4,0.6,19,1,-1.016873587,2.040091547,-3.056965134
85,F1085,0,N/A,N/A,SM-102,18PG,10,80,0.8,1,79.4,0.6,19.8,0.2,0.134756369,3.591586557,-3.456830188
86,F1086,0,N/A,N/A,SM-102,18PG,7,80,0.8,1,79.4,0.6,19.8,0.2,-0.079262235,3.211792353,-3.291054588
