Formula_label,FALCON_ID,Iter,Opt_Method,Max_Cell_Target,Ionizable_lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,SM102_PcntMolar,DSPC_PcntMolar,Cholesterol_PcntMolar,DMGPEG_PcntMolar,nLnLE_THP1,nLnLE_HEPG2,nLnLE_Selectivity
54,F2054,1,i-optimal_minCT,N/A,SM-102,DSPC,5.821763205,60.87238147,10.87094041,4.654236642,54.25498115,6.617400316,37.30652657,1.821091959,4.694814172,6.02944906,-1.334634887
55,F2055,1,i-optimal_minCT,N/A,SM-102,DSPC,7.098456019,47.25126767,29.29345091,4.820028173,33.40974077,13.8415269,50.20622857,2.542503759,5.330740667,6.489493948,-1.15875328
56,F2056,1,i-optimal_minCT,N/A,SM-102,DSPC,6.677143208,73.25276029,24.99745857,4.560629993,54.94143189,18.3113284,25.52739707,1.219842637,4.040162713,4.63091821,-0.590755496
57,F2057,2,NSGAII,THP1,SM-102,DSPC,5.159931537,83.61411173,2.881324077,10.31217244,81.2049182,2.409193533,14.69614722,1.689741054,2.351789179,2.187947167,0.163842012
58,F2058,2,NSGAII,THP1,SM-102,DSPC,15.77405169,82.92403078,0.454287197,6.670310221,82.54731752,0.376713255,15.9369491,1.13902012,3.828410384,3.444539398,0.383870986
59,F2059,2,NSGAII,THP1,SM-102,DSPC,9.68972266,82.66882592,1.379310706,5.022175268,81.52856595,1.140259966,16.46077214,0.870401938,4.22232655,3.387449889,0.834876662
60,F2060,2,NSGAII,THP1,SM-102,DSPC,13.01800083,83.47207482,9.112258085,10.41908853,75.86588393,7.606190887,14.80586602,1.722059157,5.214838344,5.453305071,-0.238466727
61,F2061,2,NSGAII,THP1,SM-102,DSPC,5.077592943,80.35719964,1.219783738,5.052186263,79.37701559,0.980184054,18.6504095,0.992390861,2.561299244,2.233192388,0.328106857
62,F2062,2,NSGAII,THP1,SM-102,DSPC,9.009399092,82.91433724,9.854390548,10.92860104,74.74363463,8.170702612,15.21843884,1.867223918,4.506345558,4.645800945,-0.139455387
63,F2063,2,NSGAII,THP1,SM-102,DSPC,8.55866745,83.58477466,6.647158042,6.025864612,78.02876259,5.556012071,15.42606609,0.989159255,5.014062273,3.953428966,1.060633306
64,F2064,2,NSGAII,THP1,SM-102,DSPC,13.29105751,82.8566336,0.017562619,5.762275888,82.84208181,0.014551795,16.15551833,0.987848068,2.511950901,1.425853154,1.086097747
65,F2065,2,NSGAII,THP1,SM-102,DSPC,10.45418616,83.30913959,6.429681215,9.985876256,77.95262749,5.356512099,15.02413174,1.666728667,4.326821594,4.353526289,-0.026704694
66,F2066,2,NSGAII,THP1,SM-102,DSPC,8.541509711,80.05549875,3.482260183,6.581774235,77.26775799,2.787740757,18.63179921,1.312702045,4.069299494,3.383094525,0.686204969
67,F2067,2,i-optimal,N/A,SM-102,DSPC,17.37161696,85.08905834,3.412666354,12.93337836,82.18525268,2.903805665,12.98245316,1.928488502,5.31833464,4.638059776,0.680274864
68,F2068,2,i-optimal,N/A,SM-102,DSPC,8.163039281,52.32868822,21.14992952,6.294577809,41.26120754,11.06748068,44.67060397,3.000707813,7.062725491,7.958906638,-0.896181148
69,F2069,2,i-optimal,N/A,SM-102,DSPC,22.0336711,43.72366496,34.88993326,19.00876763,28.46850744,15.25515752,45.57889728,10.69743776,3.25124566,4.12281404,-0.87156838
70,F2070,2,i-optimal,N/A,SM-102,DSPC,7.690523511,45.88365265,15.93613734,7.697269673,38.57157075,7.312081903,49.95086616,4.165481193,5.948700039,8.044108543,-2.095408505
71,F2071,2,i-optimal,N/A,SM-102,DSPC,15.8165542,61.81190833,36.10230601,13.93436125,39.49638403,22.3155243,32.86682502,5.321266648,3.962536353,4.744303366,-0.781767013
72,F2072,2,i-optimal_minCT,N/A,SM-102,DSPC,7.429827336,48.1234102,25.09271144,6.338288809,36.04794174,12.07546846,48.58850171,3.288088086,5.831173886,7.831609313,-2.000435427
73,F2073,2,i-optimal_minCT,N/A,SM-102,DSPC,8.473726863,88.19134063,20.73563676,8.273578883,69.90430458,18.28703605,10.83166062,0.976998748,4.095208729,5.090723915,-0.995515187
74,F2074,2,i-optimal_minCT,N/A,SM-102,DSPC,6.711379759,65.8023517,28.57640004,12.10581831,46.99840844,18.80394326,30.05774313,4.139905169,4.031844058,4.598400508,-0.56655645
75,F2075,2,i-optimal_minCT,N/A,SM-102,DSPC,4.940027582,66.89995446,10.45666154,15.6832892,59.90445265,6.995501808,27.90886967,5.191175867,3.223448332,4.107795678,-0.884347347
76,F2076,2,i-optimal_minCT,N/A,SM-102,DSPC,17.7358067,38.22800899,21.29020008,17.28391938,30.08918939,8.138819601,51.09536988,10.67662113,2.98991136,4.385412725,-1.395501366
77,F2077,3,NSGAII,THP1,SM-102,DSPC,14.56273661,85.63779369,0.526420556,6.330787329,85.18697874,0.45081495,13.45296557,0.909240737,3.689763587,1.498198928,2.191564659
78,F2078,3,NSGAII,THP1,SM-102,DSPC,8.428609369,85.41615753,0.209509185,19.49008149,85.23720283,0.178954695,11.74143969,2.842402782,0.024957677,0.134818835,-0.109861158
79,F2079,3,NSGAII,THP1,SM-102,DSPC,13.65575698,87.60170581,0.008352937,14.51692137,87.59438849,0.007317315,10.59844357,1.799850619,0.333288529,0.800779108,-0.467490579
80,F2080,3,NSGAII,THP1,SM-102,DSPC,8.751695617,87.61098923,6.377275388,5.856403959,82.02379518,5.587194053,11.66346025,0.725550517,4.866513176,3.505502789,1.361010387
81,F2081,3,NSGAII,THP1,SM-102,DSPC,8.945296721,87.37785579,0.992172879,12.33093517,86.5109164,0.866939387,11.06571579,1.55642842,1.677176576,1.132232733,0.544943844
82,F2082,3,NSGAII,THP1,SM-102,DSPC,13.56594647,85.71507026,1.130666613,19.51796335,84.74591858,0.969151682,11.49680239,2.788127351,1.515132443,1.117864553,0.39726789
83,F2083,3,NSGAII,THP1,SM-102,DSPC,14.72960558,80.10472639,8.791328324,6.096814994,73.06245689,7.0422695,18.68229559,1.212978025,5.605051304,4.175738461,1.429312843
84,F2084,3,NSGAII,THP1,SM-102,DSPC,9.207864275,89.19114741,0.481817773,15.94647394,88.76140861,0.4297388,9.085221729,1.723630861,0.422382363,0.379259209,0.043123154
85,F2085,3,NSGAII,THP1,SM-102,DSPC,8.687309104,80.0355663,0.201752147,6.320133129,79.87409283,0.161473473,18.70265491,1.261778788,2.650527641,1.565750588,1.084777053
86,F2086,3,NSGAII,THP1,SM-102,DSPC,13.97008491,83.6059303,1.071689171,16.9771203,82.7099346,0.895995701,13.61082876,2.783240935,2.449611968,2.143734429,0.30587754
87,F2087,3,i-optimal,N/A,SM-102,DSPC,15.19908363,36.46104762,25.10331571,14.62647607,27.30811572,9.152931895,54.24544272,9.293509665,2.975495465,4.314816263,-1.339320799
88,F2088,3,i-optimal,N/A,SM-102,DSPC,7.453486227,74.8029658,1.532194181,14.08522312,73.65683911,1.146126689,21.64797571,3.549058487,2.231870553,2.322613515,-0.090742962
89,F2089,3,i-optimal,N/A,SM-102,DSPC,19.05915698,43.02827685,14.46781956,16.15924247,36.8030234,6.225253454,47.76552427,9.206198883,1.58314569,3.518099934,-1.934954244
90,F2090,3,i-optimal,N/A,SM-102,DSPC,16.01192349,88.33206051,1.094936105,18.3011701,87.36488089,0.967179623,9.532570037,2.135369453,2.16643664,2.129280687,0.037155952
91,F2091,3,i-optimal,N/A,SM-102,DSPC,5.427943145,43.2250095,10.89557312,9.726984239,38.51539698,4.709612516,51.25249612,5.522494378,3.874662205,5.985413709,-2.110751504
92,F2092,3,i-optimal_minCT,N/A,SM-102,DSPC,14.19197992,68.25615987,4.252699154,6.704846146,65.35343074,2.902729133,29.61546449,2.128375642,5.337212943,6.059733063,-0.72252012
93,F2093,3,i-optimal_minCT,N/A,SM-102,DSPC,13.05278843,68.98843707,32.25265491,17.56597244,46.73783453,22.25060254,25.56408033,5.447482597,2.924224799,3.57356328,-0.649338481
94,F2094,3,i-optimal_minCT,N/A,SM-102,DSPC,18.80553527,83.36793073,28.24671639,16.98772676,59.81922778,23.54870295,13.80665879,2.825410482,4.39351311,4.814727589,-0.42121448
95,F2095,3,i-optimal_minCT,N/A,SM-102,DSPC,8.120098043,74.22736823,19.50872179,12.31844668,59.74655747,14.48081076,22.59784387,3.174787903,3.593656676,3.690410819,-0.096754143
96,F2096,3,i-optimal_minCT,N/A,SM-102,DSPC,12.97386898,68.76020599,19.48537582,15.89429705,55.36202144,13.39818455,26.27444835,4.965345658,3.586915319,3.84065478,-0.253739461
97,F2097,4,NSGAII,THP1,SM-102,DSPC,13.94086176,85.6888506,3.502042756,6.244681934,82.68799041,3.000860185,13.41746364,0.893685761,5.418157144,3.426015707,1.992141437
98,F2098,4,NSGAII,THP1,SM-102,DSPC,4.598501441,85.44246529,1.199466794,6.098021031,84.41761129,1.024853999,13.66981318,0.887721528,1.542990549,0.854923806,0.688066742
99,F2099,4,NSGAII,THP1,SM-102,DSPC,20.36158224,83.07877188,1.871939197,6.314090373,81.52358778,1.555184095,15.85280648,1.068421636,5.274623614,3.582247267,1.692376346
100,F2100,4,NSGAII,THP1,SM-102,DSPC,9.114180708,85.64654722,0.844824467,6.293118995,84.92298423,0.723562986,13.45017292,0.903279863,2.779969443,1.804836441,0.975133002
101,F2101,4,NSGAII,THP1,SM-102,DSPC,16.98138981,84.55073898,1.492387233,6.258556217,83.28891455,1.261824434,14.48236033,0.966900686,4.667981618,2.785362926,1.882618693
102,F2102,4,NSGAII,THP1,SM-102,DSPC,14.89277229,85.28915939,9.04608749,6.299023589,77.57382741,7.715331978,13.78420129,0.92663932,5.155908819,3.765188887,1.390719932
103,F2103,4,NSGAII,THP1,SM-102,DSPC,18.89963171,84.69818977,2.805619241,6.14614619,82.32188106,2.376308709,14.3613386,0.940471626,5.384085282,3.353817939,2.030267343
104,F2104,4,NSGAII,THP1,SM-102,DSPC,15.71912222,83.608852,2.723241394,6.23638266,81.33198113,2.276870867,15.36893329,1.022214712,5.066038468,3.21492831,1.851110157
105,F2105,4,NSGAII,THP1,SM-102,DSPC,12.43649245,85.70105001,0.530451116,6.288621777,85.24644783,0.454602176,13.39974311,0.899206883,3.397957119,1.910255742,1.487701378
106,F2106,4,NSGAII,THP1,SM-102,DSPC,19.59387082,85.56185436,1.457363704,6.206078007,84.31490695,1.24694741,13.54210306,0.896042581,4.946950716,2.98679348,1.960157236
107,F2107,4,i-optimal,N/A,SM-102,DSPC,7.153751062,38.160571,41.87895946,4.152982704,22.17932094,15.98125006,59.27124821,2.568180791,5.707132284,7.573286425,-1.866154141
108,F2108,4,i-optimal,N/A,SM-102,DSPC,17.93854722,43.93005973,4.562161005,18.0933593,41.92589968,2.004160054,45.92500452,10.14493575,1.616601912,3.093494262,-1.47689235
109,F2109,4,i-optimal,N/A,SM-102,DSPC,9.003372209,37.66416093,21.28087223,10.45549129,29.64889897,8.015261964,55.81832085,6.517518225,4.179947876,5.761688476,-1.5817406
110,F2110,4,i-optimal,N/A,SM-102,DSPC,8.023169542,62.71538782,5.936139421,16.88724891,58.99251496,3.722872859,30.98826692,6.296345264,3.547254342,4.805445374,-1.258191032
111,F2111,4,i-optimal,N/A,SM-102,DSPC,10.49488381,42.83914815,5.989216691,13.50755386,40.27341874,2.565729411,49.439819,7.72103285,3.211736707,5.238634942,-2.026898235
112,F2112,4,i-optimal_minCT,N/A,SM-102,DSPC,14.02527632,70.99482571,36.54381294,9.416804133,45.05060941,25.9442163,26.27381384,2.731360451,4.128224682,3.259318644,0.868906038
113,F2113,4,i-optimal_minCT,N/A,SM-102,DSPC,11.05025002,42.03829336,13.91268796,14.80323247,36.18963678,5.848656579,49.38150046,8.580206177,3.082187138,4.75381261,-1.671625473
114,F2114,4,i-optimal_minCT,N/A,SM-102,DSPC,20.81355174,73.50997893,35.52629438,13.79203127,47.39460742,26.11537151,22.83650908,3.653511989,4.105851476,3.923557533,0.182293943
115,F2115,4,i-optimal_minCT,N/A,SM-102,DSPC,7.737621328,38.65488093,24.67540446,15.2629987,29.11663272,9.538248213,51.98201434,9.363104726,3.256120376,4.677194366,-1.42107399
116,F2116,4,i-optimal_minCT,N/A,SM-102,DSPC,22.9263226,69.1407235,39.26200471,6.087354927,41.99468938,27.14603412,28.98076281,1.878513688,4.511520235,3.888251262,0.623268973
117,F2117,5,NSGAII,THP1,SM-102,DSPC,12.32194185,86.03701305,1.469217961,13.90496318,84.7729418,1.264071249,12.02143876,1.941548194,3.640313831,2.85233923,0.787974602
118,F2118,5,NSGAII,THP1,SM-102,DSPC,4.480630871,54.87237202,2.077106314,4.254295341,53.73261452,1.139757504,43.20776541,1.919862575,4.176602526,6.390592123,-2.213989597
119,F2119,5,NSGAII,THP1,SM-102,DSPC,16.0495601,58.33843855,1.480315845,6.561505949,57.4748454,0.86359315,38.92793562,2.733625833,5.615010891,7.359489043,-1.744478152
120,F2120,5,NSGAII,THP1,SM-102,DSPC,4.871717185,89.8986041,0.826832248,6.316240898,89.15529345,0.743310649,9.463367401,0.638028499,1.274772773,1.652411784,-0.377639011
121,F2121,5,NSGAII,THP1,SM-102,DSPC,16.3350144,89.98392973,3.071043957,4.413718654,87.22048369,2.763446036,9.573989108,0.442081162,5.438794738,3.339011046,2.099783692
