Formula_label,Iter,Opt_Method,Max_Cell_Target,Ionizable_lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,SM102_PcntMolar,DSPC_PcntMolar,Cholesterol_PcntMolar,DMGPEG_PcntMolar,nLnLE_HEPG2,nLnLE_RAMOS,nLnLE_Selectivity
85,0,N/A,N/A,SM-102,DSPC,10,80,1,1,79.2,0.8,19.8,0.2,7.313881578,1.25914579,-6.054735788
86,0,N/A,N/A,SM-102,DSPC,7,80,1,1,79.2,0.8,19.8,0.2,7.295925718,1.269889113,-6.026036605
87,0,N/A,N/A,SM-102,DSPC,4,80,1,1,79.2,0.8,19.8,0.2,6.362820408,1.293091608,-5.0697288
88,0,N/A,N/A,SM-102,DSPC,10,80,1,0.2,79.2,0.8,19.96,0.04,7.150933558,1.965048807,-5.185884751
89,0,N/A,N/A,SM-102,DSPC,7,80,1,0.2,79.2,0.8,19.96,0.04,6.964954678,1.338064156,-5.626890522
90,0,N/A,N/A,SM-102,DSPC,4,80,1,0.2,79.2,0.8,19.96,0.04,5.849688548,1.389490393,-4.460198155
91,0,N/A,N/A,SM-102,DSPC,10,50,1,5,49.5,0.5,47.5,2.5,9.554326267,2.407913798,-7.146412469
92,0,N/A,N/A,SM-102,DSPC,7,50,1,5,49.5,0.5,47.5,2.5,9.470219378,2.60793416,-6.862285218
93,0,N/A,N/A,SM-102,DSPC,4,50,1,5,49.5,0.5,47.5,2.5,7.171150766,2.841846061,-4.329304705
94,0,N/A,N/A,SM-102,DSPC,10,50,1,1,49.5,0.5,49.5,0.5,9.696156718,2.529957754,-7.166198964
95,0,N/A,N/A,SM-102,DSPC,7,50,1,1,49.5,0.5,49.5,0.5,9.714388838,2.758934825,-6.955454013
96,0,N/A,N/A,SM-102,DSPC,4,50,1,1,49.5,0.5,49.5,0.5,7.46693562,2.58499535,-4.88194027
97,0,N/A,N/A,SM-102,DSPC,10,50,1,0.2,49.5,0.5,49.9,0.1,10.26491087,1.714264957,-8.550645913
98,0,N/A,N/A,SM-102,DSPC,7,50,1,0.2,49.5,0.5,49.9,0.1,10.12912613,2.031313601,-8.097812529
99,0,N/A,N/A,SM-102,DSPC,4,50,1,0.2,49.5,0.5,49.9,0.1,7.890121179,2.393983425,-5.496137754
100,0,N/A,N/A,SM-102,DSPC,10,20,1,5,19.8,0.2,76,4,7.877369818,2.770134471,-5.107235347
101,0,N/A,N/A,SM-102,DSPC,7,20,1,5,19.8,0.2,76,4,7.391575608,2.901416364,-4.490159244
102,0,N/A,N/A,SM-102,DSPC,4,20,1,5,19.8,0.2,76,4,7.621687828,2.210152262,-5.411535566
103,0,N/A,N/A,SM-102,DSPC,10,20,1,1,19.8,0.2,79.2,0.8,7.380893018,2.359895383,-5.020997635
104,0,N/A,N/A,SM-102,DSPC,7,20,1,1,19.8,0.2,79.2,0.8,7.396015838,2.528777006,-4.867238832
105,0,N/A,N/A,SM-102,DSPC,4,20,1,1,19.8,0.2,79.2,0.8,7.533022198,2.492432392,-5.040589806
106,0,N/A,N/A,SM-102,DSPC,10,20,1,0.2,19.8,0.2,79.84,0.16,7.625576368,1.700409228,-5.92516714
107,0,N/A,N/A,SM-102,DSPC,7,20,1,0.2,19.8,0.2,79.84,0.16,7.689130678,2.600617571,-5.088513107
108,0,N/A,N/A,SM-102,DSPC,4,20,1,0.2,19.8,0.2,79.84,0.16,6.783773418,2.471975444,-4.311797974
109,1,i-optimal,N/A,SM-102,DSPC,4.727,36.977,25.351,8.888,27.60296073,9.37403927,57.42151576,5.60148424,8.66841634,6.812559239,-1.855857101
110,1,i-optimal,N/A,SM-102,DSPC,4.626,29.87,25.169,14.904,22.3520197,7.5179803,59.6778248,10.4521752,6.742867612,3.490888259,-3.251979353
111,1,i-optimal,N/A,SM-102,DSPC,4.706,32.901,23.878,8.364,25.04489922,7.85610078,61.48683964,5.61216036,7.852821154,4.986169315,-2.866651839
112,1,i-optimal,N/A,SM-102,DSPC,5.123,36.625,23.948,11.268,27.854045,8.770955,56.233905,7.141095,7.098083123,4.841594758,-2.256488365
113,1,i-optimal,N/A,SM-102,DSPC,3.815,31.652,24.166,11.452,24.00297768,7.64902232,60.52078704,7.82721296,6.731955313,4.551240151,-2.180715162
114,1,i-optimal,N/A,SM-102,DSPC,4.16,20.261,24.89,7.459,15.2180371,5.0429629,73.79126799,5.94773201,6.296520257,3.075658721,-3.220861536
115,1,i-optimal,N/A,SM-102,DSPC,3.958,27.439,25.054,9.075,20.56443294,6.87456706,65.97608925,6.58491075,7.347877403,4.11450266,-3.233374743
116,1,i-optimal,N/A,SM-102,DSPC,4.873,24.025,23.443,6.084,18.39281925,5.63218075,71.352681,4.622319,6.881676947,3.759866002,-3.121810945
117,1,i-optimal,N/A,SM-102,DSPC,5.005,37.575,23.297,9.409,28.82115225,8.75384775,56.55143175,5.87356825,7.745706924,5.339913536,-2.405793388
118,1,NSGAII,RAMOS,SM-102,DSPC,4.165,33.14,28.162,3.879,23.8071132,9.3328868,64.2665006,2.5934994,8.503860722,5.231951155,-3.271909567
119,1,NSGAII,RAMOS,SM-102,DSPC,4.178,26.002,14.174,3.955,22.31647652,3.68552348,71.0713791,2.9266209,7.732663266,3.972727696,-3.75993557
120,1,NSGAII,RAMOS,SM-102,DSPC,4.189,37.733,15.782,3.926,31.77797794,5.95502206,59.82239758,2.44460242,7.16826284,4.606424134,-2.561838706
121,1,NSGAII,RAMOS,SM-102,DSPC,4.122,35.241,13.81,1.395,30.3742179,4.8667821,63.85561195,0.90338805,6.974922209,4.184634996,-2.790287213
122,1,NSGAII,RAMOS,SM-102,DSPC,4.177,25.186,27.279,3.879,18.31551106,6.87048894,71.91196494,2.90203506,7.751705217,3.742048314,-4.009656903
123,1,NSGAII,RAMOS,SM-102,DSPC,4.159,37.597,23.324,3.987,28.82787572,8.76912428,59.91499239,2.48800761,7.929926947,5.520879787,-2.40904716
124,1,NSGAII,RAMOS,SM-102,DSPC,4.12,28.076,13.778,1.39,24.20768872,3.86831128,70.9242564,0.9997436,7.446634612,3.552712146,-3.893922466
125,1,NSGAII,RAMOS,SM-102,DSPC,4.189,31.605,16.117,3.795,26.51122215,5.09377785,65.79940975,2.59559025,7.902174346,4.333342247,-3.568832099
126,1,NSGAII,RAMOS,SM-102,DSPC,4.167,37.898,28.112,3.827,27.24411424,10.65388576,59.72535646,2.37664354,7.794487084,4.979073648,-2.815413436
127,2,i-optimal,N/A,SM-102,DSPC,4.496,78.795,24.888,6.896,59.1845004,19.6104996,19.7427032,1.4622968,4.845963169,2.151924714,-2.694038455
128,2,i-optimal,N/A,SM-102,DSPC,3.806,63.661,36.577,4.94,40.37571603,23.28528397,34.5438534,1.7951466,6.348443268,3.040479273,-3.307963995
129,2,i-optimal,N/A,SM-102,DSPC,4.383,73.11,25.324,7.411,54.5956236,18.5143764,24.8971821,1.9928179,5.147824494,2.501800961,-2.646023533
130,2,i-optimal,N/A,SM-102,DSPC,4.781,87.726,37.667,8.197,54.68224758,33.04375242,11.26790022,1.00609978,3.801041856,1.577666287,-2.223375569
131,2,i-optimal,N/A,SM-102,DSPC,4.014,60.442,27.409,7.782,43.87545222,16.56654778,36.47959644,3.07840356,5.961786743,4.073356679,-1.888430064
132,2,i-optimal,N/A,SM-102,DSPC,5.002,86.261,34.958,6.544,56.10587962,30.15512038,12.83991984,0.89908016,4.237670285,1.515011808,-2.722658477
133,2,i-optimal,N/A,SM-102,DSPC,5.159,77.988,27.19,7.936,56.7830628,21.2049372,20.26512768,1.74687232,4.047622978,1.776868553,-2.270754425
134,2,i-optimal,N/A,SM-102,DSPC,5.133,72.7,33.417,7.713,48.405841,24.294159,25.194351,2.105649,4.975995131,2.742410552,-2.233584579
135,2,i-optimal,N/A,SM-102,DSPC,3.623,33.229,33.2,7.113,22.196972,11.032028,62.02157877,4.74942123,7.169308403,5.304144155,-1.865164248
136,2,NSGAII,RAMOS,SM-102,DSPC,4.884,46.974,19.258,8.586,37.92774708,9.04625292,48.47318764,4.55281236,7.269307512,5.29959981,-1.969707702
137,2,NSGAII,RAMOS,SM-102,DSPC,3.867,23.939,1.473,36.323,23.58637853,0.35262147,48.43336297,27.62763703,5.805065145,2.146198491,-3.658866654
138,2,NSGAII,RAMOS,SM-102,DSPC,3.873,22.94,50.17,31.714,11.431002,11.508998,52.6211916,24.4388084,6.134625653,3.987246166,-2.147379487
139,2,NSGAII,RAMOS,SM-102,DSPC,4.162,24.606,49.746,10.686,12.36549924,12.24050076,67.33739716,8.05660284,7.474048822,4.779461596,-2.694587226
140,2,NSGAII,RAMOS,SM-102,DSPC,4.222,22.649,1.008,10.127,22.42069808,0.22830192,69.51766423,7.83333577,6.456494439,2.267179253,-4.189315186
141,2,NSGAII,RAMOS,SM-102,DSPC,4.323,37.048,0.527,3.887,36.85275704,0.19524296,60.50505576,2.44694424,6.620307458,2.818844871,-3.801462587
142,2,NSGAII,RAMOS,SM-102,DSPC,3.579,37.56,0.914,8.462,37.2167016,0.3432984,57.1563272,5.2836728,5.950614691,2.519028155,-3.431586536
143,2,NSGAII,RAMOS,SM-102,DSPC,4.874,24.606,49.412,8.616,12.44768328,12.15831672,68.89805296,6.49594704,7.6646954,5.052798882,-2.611896518
144,2,NSGAII,RAMOS,SM-102,DSPC,4.161,37.247,0.488,10.569,37.06523464,0.18176536,56.12063543,6.63236457,6.543382164,3.015437345,-3.527944819
145,3,NSGAII,RAMOS,SM-102,DSPC,3.526,96.074,43.712,40.813,54.07813312,41.99586688,2.32368162,1.60231838,0.674994017,1.142162927,0.46716891
146,3,i-optimal,N/A,SM-102,DSPC,3.957,83.868,16.866,68.057,69.72282312,14.14517688,5.15304476,10.97895524,1.14919088,1.50489309,0.35570221
147,3,NSGAII,RAMOS,SM-102,DSPC,4.372,35.813,46.52,10.112,19.1527924,16.6602076,57.69641056,6.49058944,8.444202916,4.601558385,-3.842644531
148,3,i-optimal,N/A,SM-102,DSPC,3.333,82.648,38.942,87.399,50.46321584,32.18478416,2.18652552,15.16547448,0.826547347,0.251989834,-0.574557513
149,3,NSGAII,RAMOS,SM-102,DSPC,3.452,92.735,47.134,24.948,49.0252851,43.7097149,5.4525278,1.8124722,2.200748855,0.864511029,-1.336237826
150,3,NSGAII,RAMOS,SM-102,DSPC,3.761,93.469,40.11,46.494,55.9785841,37.4904159,3.49447686,3.03652314,1.164522489,1.100348126,-0.064174363
151,3,i-optimal,N/A,SM-102,DSPC,3.375,88.883,38.008,79.313,55.10034936,33.78265064,2.29977379,8.81722621,0.681343708,0.29273326,-0.388610448
152,3,NSGAII,RAMOS,SM-102,DSPC,3.349,89.337,44.884,70.099,49.23898092,40.09801908,3.18834363,7.47465637,0.504753242,0.40796271,-0.096790532
153,3,i-optimal,N/A,SM-102,DSPC,3.488,91.069,46.907,67.477,48.35126417,42.71773583,2.90462913,6.02637087,0.909986841,0.008140197,-0.901846644
154,3,i-optimal,N/A,SM-102,DSPC,3.662,94.199,44.739,74.436,52.05530939,42.14369061,1.48296764,4.31803236,0.484763097,0.227225865,-0.257537232
155,3,NSGAII,RAMOS,SM-102,DSPC,3.789,97.147,20.69,15.466,77.0472857,20.0997143,2.41175502,0.44124498,3.728487467,1.550145026,-2.178342441
156,3,i-optimal,N/A,SM-102,DSPC,3.775,80.579,41.317,53.982,47.28617457,33.29282543,8.93715578,10.48384422,1.695171049,0.645392964,-1.049778085
157,3,NSGAII,RAMOS,SM-102,DSPC,4.972,37.815,35.211,9.359,24.49996035,13.31503965,56.36510585,5.81989415,8.326131489,5.471215029,-2.85491646
158,3,NSGAII,RAMOS,SM-102,DSPC,4.867,37.084,19.258,8.586,29.94236328,7.14163672,57.51403224,5.40196776,7.062384493,5.16977355,-1.892610943
159,3,i-optimal,N/A,SM-102,DSPC,3.977,34.186,36.861,7.035,21.58469854,12.60130146,61.1839851,4.6300149,8.152333926,5.681045752,-2.471288174
160,3,NSGAII,RAMOS,SM-102,DSPC,4.157,29.263,27.647,3.938,21.17265839,8.09034161,67.95137694,2.78562306,7.603759994,5.043315917,-2.560444077
161,3,i-optimal,N/A,SM-102,DSPC,4.885,21.992,23.376,11.829,16.85115008,5.14084992,68.78043368,9.22756632,6.31626322,3.366394197,-2.949869023
162,3,i-optimal,N/A,SM-102,DSPC,4.56,82.922,37.314,43.121,51.98048492,30.94151508,9.71379562,7.36420438,1.363077249,1.045945077,-0.317132172
163,4,i-optimal,N/A,SM-102,DSPC,4.631,87.492,10.155,86.707,78.6071874,8.8848126,1.66268844,10.84531156,1.617215928,0.990173049,-0.627042879
164,4,NSGAII,RAMOS,SM-102,DSPC,4.671,34.8,37.12,10.087,21.88224,12.91776,58.623276,6.576724,8.726596146,4.989075124,-3.737521022
165,4,i-optimal,N/A,SM-102,DSPC,4.331,90.159,8.793,81.846,82.23131913,7.92768087,1.78653514,8.05446486,0.576508498,1.413904612,0.837396114
166,4,NSGAII,RAMOS,SM-102,DSPC,4.514,96.779,34.705,51.105,63.19184805,33.58715195,1.57490795,1.64609205,1.492066505,1.300614268,-0.191452237
167,4,NSGAII,RAMOS,SM-102,DSPC,3.719,88.121,37.649,19.618,54.94432471,33.17667529,9.54857778,2.33042222,2.55791943,1.582545536,-0.975373894
168,4,i-optimal,N/A,SM-102,DSPC,4.584,83.806,48.891,51.864,42.83240854,40.97359146,7.79514384,8.39885616,1.155476668,0.773499647,-0.381977021
169,4,NSGAII,RAMOS,SM-102,DSPC,3.855,77.89,47.274,17.866,41.0682814,36.8217186,18.1598274,3.9501726,3.787913812,2.045168735,-1.742745077
170,4,i-optimal,N/A,SM-102,DSPC,4.324,84.676,9.866,72.021,76.32186584,8.35413416,4.28750196,11.03649804,0.533165216,0.800637622,0.267472406
171,4,NSGAII,RAMOS,SM-102,DSPC,4.702,97.803,37.646,20.824,60.98408262,36.81891738,1.73949672,0.45750328,2.907498325,1.193613719,-1.713884606
172,4,i-optimal,N/A,SM-102,DSPC,4.603,83.052,32.333,49.039,56.19879684,26.85320316,8.63687028,8.31112972,0.757792647,1.303023476,0.545230829
173,4,NSGAII,RAMOS,SM-102,DSPC,3.765,25.246,36.93,20.932,15.9226522,9.3233478,59.10649272,15.64750728,6.916916084,3.676593157,-3.240322927
174,4,i-optimal,N/A,SM-102,DSPC,4.28,83.907,6.308,71.999,78.61414644,5.29285356,4.50620093,11.58679907,0.712994639,1.302095398,0.589100759
175,4,NSGAII,RAMOS,SM-102,DSPC,3.76,64.558,39.688,19.767,38.93622096,25.62177904,28.43617986,7.00582014,4.535300691,2.529705411,-2.00559528
176,4,i-optimal,N/A,SM-102,DSPC,4.609,83.133,26.501,48.356,61.10192367,22.03107633,8.71079348,8.15620652,1.024961791,1.025198608,0.000236817
177,4,NSGAII,RAMOS,SM-102,DSPC,4.553,77.875,37.56,19.717,48.62515,29.24985,17.76261375,4.36238625,3.181651938,1.075606242,-2.106045696
178,4,i-optimal,N/A,SM-102,DSPC,4.728,84.457,4.101,81.707,80.99341843,3.46358157,2.84328099,12.69971901,1.347688923,1.040938113,-0.30675081
179,4,NSGAII,RAMOS,SM-102,DSPC,4.732,25.207,49.876,20.965,12.63475668,12.57224332,59.11264755,15.68035245,6.97095604,4.045858096,-2.925097944
180,4,i-optimal,N/A,SM-102,DSPC,4.587,83.589,21.222,22.099,65.84974242,17.73925758,12.78433311,3.62666689,3.714528714,1.869923351,-1.844605363
