Formula_label,FALCON_ID,Opt_Method,Ionizable_lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,MC3_PcntMolar,DSPC_PcntMolar,Cholesterol_PcntMolar,DMGPEG_PcntMolar,nLnLE_RAMOS
31,U0031,URS,Dlin-MC3-DMA,DSPC,9.783898033,67.96098853,95.57683155,6.565930925,35.36082889,27.21669963,35.4934054,1.929066077,7.337020377
32,U0032,URS,Dlin-MC3-DMA,DSPC,22.52017145,35.74614397,34.2549319,6.530698982,44.30067934,21.57848102,33.45590748,0.664932159,5.05929521
33,U0033,URS,Dlin-MC3-DMA,DSPC,17.78693015,37.88613702,66.58554269,6.505911331,36.28129507,28.28865238,33.02023934,2.409813215,4.979735422
34,U0034,URS,Dlin-MC3-DMA,DSPC,22.19761583,71.22615907,5.055531228,6.429977222,27.46731217,19.59192967,49.1653677,3.775390462,7.273590701
35,U0035,URS,Dlin-MC3-DMA,DSPC,4.374038779,59.78960886,40.70190821,6.412808292,53.41462401,18.4497605,25.9304912,2.205124287,4.162083086
36,U0036,URS,Dlin-MC3-DMA,DSPC,7.198526713,33.43294821,61.95580538,6.395250076,50.83712254,1.97160969,43.04121834,4.150049429,8.375570545
37,U0037,URS,Dlin-MC3-DMA,DSPC,9.802850067,74.9126991,81.12241789,6.374140992,23.15094252,16.16556654,60.24714155,0.436349391,4.738445135
38,U0038,URS,Dlin-MC3-DMA,DSPC,23.65091288,40.7266023,95.97428719,6.323608018,64.88127136,4.29862028,30.56400261,0.256105752,3.744483955
39,U0039,URS,Dlin-MC3-DMA,DSPC,13.90310965,65.46882784,17.8974608,6.214029278,24.00058474,11.70440993,61.75764756,2.537357768,4.968637395
40,U0040,URS,Dlin-MC3-DMA,DSPC,21.59322347,35.65700368,83.38243255,6.034914073,43.14260272,2.593874246,53.60871108,0.654811948,4.52568288
41,U0041,URS,Dlin-MC3-DMA,DSPC,18.65431742,26.59288517,68.56113896,5.928236769,48.33503596,26.96874685,23.62585273,1.070364458,5.504340843
42,U0042,URS,Dlin-MC3-DMA,DSPC,9.662168029,68.67731913,45.28873565,5.831876166,35.45409714,24.33551172,37.63177584,2.578615297,4.441202243
43,U0043,URS,Dlin-MC3-DMA,DSPC,9.870212408,35.10186784,95.69310137,5.797059395,64.48106153,6.076112814,28.42788443,1.014941233,3.65947705
44,U0044,URS,Dlin-MC3-DMA,DSPC,25.24348088,50.94372749,6.62324834,5.795180479,25.56917773,18.93562705,51.40761446,4.087580761,4.780630652
45,U0045,URS,Dlin-MC3-DMA,DSPC,5.574148347,38.45576476,77.6230231,5.636776364,58.72967481,10.75751162,30.18254851,0.330265057,4.753170121
46,U0046,URS,Dlin-MC3-DMA,DSPC,14.16631221,42.41999408,43.49142377,5.465185931,67.62529836,3.600860714,26.92368951,1.850151418,3.803237829
47,U0047,URS,Dlin-MC3-DMA,DSPC,12.05691656,24.58731214,58.73673162,5.437066208,37.57422962,31.10308951,29.49598091,1.82669996,3.831758051
48,U0048,URS,Dlin-MC3-DMA,DSPC,21.91498154,25.00469839,4.394799613,5.418714471,61.5888719,5.141615374,33.09459009,0.174922643,6.668163085
49,U0049,URS,Dlin-MC3-DMA,DSPC,11.46829279,60.85774578,43.95313752,5.252584164,63.8636858,7.177245608,28.32469245,0.634376136,4.926138236
50,U0050,URS,Dlin-MC3-DMA,DSPC,6.97161398,73.84625607,94.85832589,5.159531468,44.02528957,31.31403556,23.85825523,0.802419644,4.497756282
51,U0051,URS,Dlin-MC3-DMA,DSPC,11.83260814,62.57752852,43.49276853,5.154833447,20.56551141,17.59252225,61.62494286,0.217023482,3.815907373
52,U0052,URS,Dlin-MC3-DMA,DSPC,8.907173768,55.75523595,11.61375068,5.137768839,18.90465308,6.736408764,71.14927526,3.209662903,6.778668208
53,U0053,URS,Dlin-MC3-DMA,DSPC,5.925292434,52.64331594,87.28681915,4.950152139,41.58141917,30.51885569,25.82608036,2.07364478,4.666964561
54,U0054,URS,Dlin-MC3-DMA,DSPC,8.599986717,42.50238015,76.18894059,4.895296387,70.39137633,7.93528854,21.25772184,0.415613287,3.724209472
55,U0055,URS,Dlin-MC3-DMA,DSPC,19.14121692,48.72254289,44.6709832,4.79814997,16.69578316,16.89246758,61.78566949,4.626079766,6.167785229
56,U0056,URS,Dlin-MC3-DMA,DSPC,19.4277773,22.1275832,65.64627541,4.78952062,46.35386945,0.319406946,52.29310582,1.03361778,2.640100741
57,U0057,URS,Dlin-MC3-DMA,DSPC,6.159322691,49.36540856,25.82214346,4.771727595,27.88658564,34.32519628,37.24291883,0.545299254,4.750712491
58,U0058,URS,Dlin-MC3-DMA,DSPC,7.140393313,40.05347711,78.21135237,4.768497644,14.7628556,11.00626662,74.03860321,0.192274569,5.166103787
59,U0059,URS,Dlin-MC3-DMA,DSPC,18.42658851,37.30149,90.97388337,4.756082225,22.59388943,2.465725859,73.09259267,1.847792037,4.534885271
60,U0060,URS,Dlin-MC3-DMA,DSPC,20.59969385,41.62051018,11.66208679,4.721236487,42.99676223,31.23374191,23.90883634,1.86065952,6.854895306
61,U0061,URS,Dlin-MC3-DMA,DSPC,24.71200928,46.86130124,63.83312398,4.70514747,26.36932953,33.37999512,39.40926284,0.841412509,5.954374895
62,U0062,URS,Dlin-MC3-DMA,DSPC,6.664771582,25.19039013,7.853508815,4.474279247,66.35962349,6.124062595,26.46614617,1.050167753,4.823790703
63,U0063,URS,Dlin-MC3-DMA,DSPC,25.26347579,66.55915957,15.65061374,4.396148107,18.38407362,27.42765639,50.04813347,4.140136518,4.517095307
64,U0064,URS,Dlin-MC3-DMA,DSPC,4.555287985,70.51605696,54.390709,4.386386999,24.22008429,35.04847763,39.90518226,0.826255821,4.06507418
65,U0065,URS,Dlin-MC3-DMA,DSPC,15.19770655,75.30378281,35.81326972,4.334123114,20.07736394,2.455418112,71.07154149,6.395676462,6.420829792
66,U0066,URS,Dlin-MC3-DMA,DSPC,11.98140523,25.64106184,26.27195709,4.316445316,25.5450885,1.063959529,66.82130601,6.569645957,4.810181099
67,U0067,URS,Dlin-MC3-DMA,DSPC,19.10029953,67.70353615,75.58630728,4.047535247,69.86380568,2.183347621,25.86479794,2.088048762,6.683393037
68,U0068,URS,Dlin-MC3-DMA,DSPC,6.046132988,35.70499467,32.78087572,3.946430605,23.905792,1.098906388,70.93152035,4.063781261,6.588820663
69,U0069,URS,Dlin-MC3-DMA,DSPC,4.642494322,72.48368608,8.448884054,3.816527737,42.45539234,34.35949879,22.39264864,0.792460233,5.014899693
70,U0070,URS,Dlin-MC3-DMA,DSPC,9.670892,23.02866753,48.83473894,3.706814015,13.17488882,14.72720781,70.17500555,1.922897817,4.254266104
71,U0071,URS,Dlin-MC3-DMA,DSPC,22.31935984,71.34142076,24.15513997,3.640821606,16.13367253,26.22308023,55.71642033,1.926826911,1.914468623
72,U0072,URS,Dlin-MC3-DMA,DSPC,12.48706589,46.54924422,22.95893162,3.581232769,38.67441375,41.16097549,19.79631164,0.368299115,4.276559276
73,U0073,URS,Dlin-MC3-DMA,DSPC,23.60142373,46.42245725,40.92841621,3.54611026,16.94826872,29.91303252,50.63844462,2.50025414,4.58614418
74,U0074,URS,Dlin-MC3-DMA,DSPC,17.13038918,49.18982026,43.91402023,3.448401986,23.21206062,1.978329509,71.46241902,3.347190849,4.004859265
75,U0075,URS,Dlin-MC3-DMA,DSPC,17.41586863,70.55717434,8.611615858,3.447159741,15.81654607,27.11727798,56.01966357,1.046512375,6.830126323
76,U0076,URS,Dlin-MC3-DMA,DSPC,5.712538028,76.81489113,44.73025774,3.417970722,14.8745556,21.51383702,63.17100922,0.440598163,4.299376364
77,U0077,URS,Dlin-MC3-DMA,DSPC,21.94143819,43.35526291,79.92861221,3.342924298,32.16187362,38.35418334,28.1906632,1.293279844,5.024386466
78,U0078,URS,Dlin-MC3-DMA,DSPC,25.54180174,42.35675276,61.91003447,3.342675861,13.89985275,9.612845306,70.39298503,6.094316912,3.841380422
79,U0079,URS,Dlin-MC3-DMA,DSPC,12.95797239,75.33932513,41.56399796,3.253843004,30.38389198,44.41455632,23.36053596,1.84101574,5.835185536
80,U0080,URS,Dlin-MC3-DMA,DSPC,10.90748665,70.8997532,69.16350625,3.238459672,32.20866651,43.17480049,24.23545233,0.381080669,6.207970735
81,U0081,URS,Dlin-MC3-DMA,DSPC,15.4488272,60.2929644,68.21278658,3.227363731,11.78267786,11.24598967,74.11814833,2.85318414,3.283029657
82,U0082,URS,Dlin-MC3-DMA,DSPC,14.71453866,61.94247632,73.36207536,3.139210047,13.77716282,24.55274345,60.93737081,0.732722925,3.411993593
83,U0083,URS,Dlin-MC3-DMA,DSPC,11.0317704,71.62809229,83.35116193,3.046685689,15.26457613,25.68352304,57.89111757,1.160783256,4.172926638
84,U0084,URS,Dlin-MC3-DMA,DSPC,25.01410447,32.749453,39.46299859,3.02728493,14.86427411,31.65952184,52.90387872,0.572325328,6.763796079
85,U0085,URS,Dlin-MC3-DMA,DSPC,16.8425443,34.11181684,18.00819307,2.948362286,29.09813421,46.85733249,23.57687494,0.46765836,7.701211778
86,U0086,URS,Dlin-MC3-DMA,DSPC,21.06574894,48.03154787,83.21802219,2.879672965,19.16545327,41.12751113,38.42554513,1.281490466,4.282277128
87,U0087,URS,Dlin-MC3-DMA,DSPC,24.11728976,75.69462041,74.16066592,2.752784604,12.65944708,25.22668994,58.07279013,4.04107285,4.973013302
88,U0088,URS,Dlin-MC3-DMA,DSPC,21.19695301,27.90209663,52.78172465,2.667064821,12.71929588,20.71365233,62.30992236,4.25712943,5.352708422
89,U0089,URS,Dlin-MC3-DMA,DSPC,20.58266179,66.78877882,75.04725697,2.568513571,10.1455286,14.44178354,71.31245009,4.100237768,6.440987435
90,U0090,URS,Dlin-MC3-DMA,DSPC,13.86049211,44.01728932,86.12912218,2.502348158,24.56211088,48.91031785,26.00596436,0.521606911,5.144209421
91,U0091,URS,Dlin-MC3-DMA,DSPC,22.12629668,25.05961529,9.839440192,2.465682614,19.74457281,44.13699945,35.81421209,0.304215651,5.315729003
92,U0092,URS,Dlin-MC3-DMA,DSPC,21.36801441,54.28726452,10.49711916,2.422203483,9.97834674,21.74407724,63.35245317,4.925122848,4.61714943
93,U0093,URS,Dlin-MC3-DMA,DSPC,9.522258532,26.30199352,74.76837585,2.413996004,21.86299796,49.03675524,28.15784704,0.942399757,5.743331865
94,U0094,URS,Dlin-MC3-DMA,DSPC,24.17302296,41.23370172,43.66748459,2.292563988,16.50019016,45.44228616,36.86281807,1.194705607,5.6020242
95,U0095,URS,Dlin-MC3-DMA,DSPC,8.405845962,71.04093141,10.10297228,2.190595786,7.601648991,14.52593421,74.14270134,3.72971546,5.371591658
96,U0096,URS,Dlin-MC3-DMA,DSPC,11.67121602,59.74932465,55.86673208,2.090430785,8.360500215,18.23238495,69.05536726,4.351747572,5.959484226
97,U0097,URS,Dlin-MC3-DMA,DSPC,20.02815124,73.16811943,92.27422595,2.059753184,16.66563235,50.12314647,32.35818646,0.853034723,4.875001571
98,U0098,URS,Dlin-MC3-DMA,DSPC,12.95628802,59.26856192,59.13502284,2.028545665,16.52893328,51.17460287,30.98925309,1.307210758,4.346067264
99,U0099,URS,Dlin-MC3-DMA,DSPC,22.7587425,73.47242873,66.56962169,1.966282198,13.72141203,44.25467015,41.90373296,0.120184856,6.23007757
100,U0100,URS,Dlin-MC3-DMA,DSPC,7.963318651,40.94809917,62.72213745,1.96570007,18.70979582,52.562362,28.56343592,0.164406264,6.312897519
101,U0101,URS,Dlin-MC3-DMA,DSPC,5.783835439,65.87916036,32.7546388,1.948756732,19.55898585,56.13563456,23.63630484,0.669074747,5.923020975
102,U0102,URS,Dlin-MC3-DMA,DSPC,14.46351668,75.9554667,61.69053332,1.944967509,10.12026699,32.38211316,54.68294094,2.814678907,4.547378087
103,U0103,URS,Dlin-MC3-DMA,DSPC,7.14496929,46.6732764,0.684346527,1.938273552,8.702002946,34.65325996,54.75114641,1.89359068,4.072177604
104,U0104,URS,Dlin-MC3-DMA,DSPC,17.09937223,78.32666487,10.13101803,1.917624971,18.58278132,57.41848511,22.28280989,1.715923677,4.682629678
105,U0105,URS,Dlin-MC3-DMA,DSPC,19.11014427,42.93382405,63.16063984,1.833857548,8.727110991,31.32636612,57.08797436,2.858548532,3.552927552
106,U0106,URS,Dlin-MC3-DMA,DSPC,20.50006048,79.83538924,51.55730545,1.826462804,8.605237597,29.85052716,58.07512433,3.469110905,3.092789179
107,U0107,URS,Dlin-MC3-DMA,DSPC,12.68874316,75.383467,57.27356702,1.548067995,8.060643705,39.97090416,50.47193066,1.496521466,4.457978145
108,U0108,URS,Dlin-MC3-DMA,DSPC,6.732793807,60.04332704,91.21776141,1.460251701,6.636420149,19.66557337,71.91893955,1.779066931,3.197311647
109,U0109,URS,Dlin-MC3-DMA,DSPC,13.76593451,62.21178192,55.17475182,1.443040403,13.36077371,59.02876159,27.29235043,0.318114265,4.286376654
110,U0110,URS,Dlin-MC3-DMA,DSPC,25.25858461,44.13551339,15.37903827,1.37849402,7.669816424,38.78175056,49.94215681,3.606276211,3.661257877
111,U0111,URS,Dlin-MC3-DMA,DSPC,14.32381958,59.12818354,11.09063117,1.264386618,5.925326637,29.73167704,60.45995178,3.88304454,3.703641748
112,U0112,URS,Dlin-MC3-DMA,DSPC,10.43700506,45.73647697,5.67134685,1.206725829,6.047443733,20.10429863,68.09634142,5.751916216,2.589305164
113,U0113,URS,Dlin-MC3-DMA,DSPC,21.22435008,38.32990627,64.05636183,1.188133308,5.916673254,23.74754232,65.18160462,5.154179814,2.631335284
114,U0114,URS,Dlin-MC3-DMA,DSPC,20.10388679,72.3895353,81.54322492,1.152151073,14.14170628,60.77099282,23.48820097,1.59909993,2.424961551
115,U0115,URS,Dlin-MC3-DMA,DSPC,11.67844892,60.49973045,12.89312978,1.104578164,6.105584421,37.9117049,54.58182835,1.400882329,2.234608189
116,U0116,URS,Dlin-MC3-DMA,DSPC,6.712204152,69.48718643,15.48128824,1.082381527,7.270396222,48.84106104,43.4890903,0.399452438,5.334451467
117,U0117,URS,Dlin-MC3-DMA,DSPC,20.87639849,46.52379595,68.05016915,1.070242996,11.9252451,59.70284719,27.50750486,0.864402852,2.219482152
118,U0118,URS,Dlin-MC3-DMA,DSPC,13.36874274,70.86666507,34.15421038,0.981471923,6.956390949,38.03797234,50.39010882,4.615527894,4.913031889
119,U0119,URS,Dlin-MC3-DMA,DSPC,6.921082378,32.88596014,91.84477941,0.940744445,7.948666971,55.44940078,33.78244405,2.819488196,1.831842729
120,U0120,URS,Dlin-MC3-DMA,DSPC,15.22724338,56.11145726,87.04293815,0.910151974,5.055417784,36.23405968,54.05502811,4.655494434,4.822140878
121,U0121,URS,Dlin-MC3-DMA,DSPC,14.02790919,63.88157226,69.09191163,0.842272684,5.639026547,45.57953832,45.04530535,3.736129776,0.695324296
122,U0122,URS,Dlin-MC3-DMA,DSPC,23.69736294,69.17989164,6.21368461,0.830969668,6.692639961,45.95067598,45.01245615,2.344227909,1.553274479
123,U0123,URS,Dlin-MC3-DMA,DSPC,8.812328341,39.31650906,41.11648498,0.719057827,6.308760649,60.15162669,31.02660927,2.513003389,1.733740957
124,U0124,URS,Dlin-MC3-DMA,DSPC,12.29095478,36.38839262,59.12280118,0.692637997,3.366875992,33.93461401,59.71651731,2.981992689,2.520174789
125,U0125,URS,Dlin-MC3-DMA,DSPC,10.11408257,71.27215782,73.74880122,0.572288943,3.25713083,43.35855797,49.77819699,3.606114214,-0.191129464
126,U0126,URS,Dlin-MC3-DMA,DSPC,7.310902799,66.73048727,7.70504695,0.525774586,5.273148238,54.7701788,39.37320496,0.583467997,-0.085893121
127,U0127,URS,Dlin-MC3-DMA,DSPC,7.358862919,38.15803366,46.10437322,0.350932376,5.652803584,67.51531585,26.27921006,0.552670514,3.64825776
128,U0128,URS,Dlin-MC3-DMA,DSPC,10.77654785,57.97608218,76.3326332,0.285991556,2.681922593,30.20403755,66.48266826,0.631371602,0.426440167
129,U0129,URS,Dlin-MC3-DMA,DSPC,17.68695103,25.76912222,42.7110653,0.259022357,1.639536046,39.08706625,55.52518037,3.748217329,3.221641228
