Formula_label,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,nLnLE_RAMOS
91,DSPC,0.7270088146583041,0.5929801333500644,0.07655031689682569,0.008115530457521865,2.735818696
108,DSPC,0.029231141178679115,0.6382901251740969,0.5736305366694705,0.11194787082783136,2.673554051
99,DSPC,0.6425265884449796,0.6847476508933463,0.23871314552758227,0.011452014322158565,2.647881837
90,DSPC,0.7199400499420535,0.7031086014443975,0.1287544972186802,0.007474240261513099,2.647358769
100,DSPC,0.8062805145997755,0.7651309675385702,0.3909852780946578,0.025057579837481962,2.369598797
129,DSPC,0.22721976150473142,0.13260572486856181,0.4878454656192121,0.9757029048594326,2.352733411
86,DSPC,0.5250855764032302,0.7598951844685444,0.2829552384564188,0.019231846973238334,2.313237458
123,DSPC,0.03296207297087564,0.5438150762762857,0.7869643321484593,0.38964450656349714,2.2796099
101,DSPC,0.7687785114274914,0.40712695393243,0.10162205539533709,0.0003787919617730638,2.266597183
121,DSPC,0.02941082396834216,0.20522479040702502,0.19733304896811735,0.9315346610501299,2.174531128
128,DSPC,0.23902938382465247,0.24511587141919527,0.2807010978286939,0.6479622576542786,2.16823322
94,DSPC,0.9037426872068948,0.7092924024963263,0.03850035666330972,0.004884972683183053,2.159713874
82,DSPC,0.5639130619539443,0.7838318319995994,0.14401788668991736,0.011767139833668687,2.13454469
102,DSPC,0.40497709641559454,0.75034376171744,0.1740176225258746,0.0064540586655772916,1.897893257
118,DSPC,0.5189020191984145,0.35068391108678515,0.05150498707268375,0.7046558757511259,1.789291277
127,DSPC,0.018091312352535,0.7603629767835225,0.5820838197309056,0.9999999999999998,1.781947925
83,DSPC,0.9584286343859221,0.4945851031415995,0.04183642864675442,0.009794278118955913,1.733341436
113,DSPC,0.056519130348896995,0.4750382202316507,0.862281194327296,0.10022053322521239,1.630301973
105,DSPC,0.6266197307207834,0.8716397001939011,0.5027120040910935,0.002422960735444065,1.494652114
97,DSPC,0.44615820896828706,0.4009348094175967,0.006395065500053748,7.593545303437397e-05,1.205646914
117,DSPC,0.04852362255380102,0.5526889729021627,0.9128818708714805,0.20349430847919853,1.054985206
115,DSPC,0.127982633335579,0.569723182244815,0.9505302350930465,0.12937430101035563,0.93933736
110,DSPC,0.07856994217840596,0.617893023534098,0.9333069309506802,0.2919616592966088,0.724495989
124,DSPC,0.02113955677985338,0.133553022873528,0.6308234804373513,0.997646836784069,0.491480355
95,DSPC,0.39898545944580355,0.9345065370162897,0.43818710475886763,0.00029163173786791053,0.434734426
114,DSPC,0.07633297821220317,0.7051854126565738,0.8606348629157593,0.18711234887140668,0.388518928
103,DSPC,0.562730650387734,0.7279538879599066,0.0052363785396200456,0.00515677279220292,0.071914453
120,DSPC,0.1381645327393,0.5643868974826127,0.9246905105415834,0.9649822741764271,-0.496334911
96,DSPC,0.04635317489172741,0.8200162446565125,0.001283501246174372,0.0014143285191246194,-0.653002787
116,DSPC,0.09496626604686118,0.6298544612485584,1.0000000000000002,0.18110432246487965,-0.653002787
126,DSPC,0.002687174840140888,1.0,0.87121264581401,0.8054951170714065,-0.884051847
