Iter,Formula_label,Opt_Method,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),MAL_(PEG+MAL),IL%,HL%,Chol%,PEG%,MAL%,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,MAL_Mol_RNA,RLU_T,LnRLU_T
1,42,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,7.11993770185746,84.34343683269,79.8060538044995,5.8036639606807,9.828661313970901,17.03226825342938,67.31116857926062,14.74790885328762,0.8193457589823339,0.08930855504004523,21.35981310557238,84.41353549496831,18.49504552870187,1.027524462408713,0.112,1.076580269646482,1.981751450566192
1,43,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.24911765343394,71.5731310039267,81.1728084091577,7.31031285612793,4.611912163124073,13.47521050167383,58.09792050225288,26.3487759372587,1.982253232274083,0.09583982654050718,15.74735296030182,67.89418690675654,30.79161358587906,2.316493779554814,0.112,2.093437058491674,2.998608239411384
1,44,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,6.35319851987016,83.2434815177774,64.1040070418355,8.13212340222526,12.88584190124717,29.88107426375234,53.36240725402506,15.39385772133158,1.187070449592276,0.1755903112987492,19.05959555961048,34.03712635535022,9.81894759475501,0.7571709929264301,0.112,2.111571291734761,3.016742472654471
2,0,cntrl,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,60.0,16.66667,3.75,24.88888789333333,49.999998,10.000002,38.5,1.1266666816,0.3733333183999999,15.0,3.000000720000029,11.55000046200002,0.3380000180000008,0.112,2.922845586495138,3.181905845131511
2,17,cntrl,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,55.0,30.0,3.75,10.64691358024691,38.5,16.5,43.3125,1.507833333333333,0.1796666666666666,24.0,10.28571428571429,27.0,0.939948051948052,0.112,3.558976665252305,3.818036923888678
2,45,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,6.23407180364364,57.8341468989133,32.9069259870676,6.1334988335849,8.984994458638786,38.80270698363595,19.03143991527735,39.57961099296043,2.353868398024146,0.2323737101021287,18.70221541093092,9.172815933326774,19.0766693412232,1.134522749853402,0.112,2.818039380609876,3.077099639246248
2,46,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,4.51488491493389,61.8343529009383,32.8551652727825,5.85210262487901,15.37120621896634,41.51857405997944,20.31577884095886,35.93215426337545,1.890178046027077,0.3433147896591724,13.54465474480167,6.627641158268406,11.72219024264377,0.6166350752474102,0.112,1.8388097431367,2.097870001773073
2,47,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,6.95037782731839,57.0659499273703,33.0517581972035,8.3223284397727,5.743251987695689,38.20465014443864,18.86129978293165,39.360937413089,3.367899795699036,0.2052128638416783,20.85113348195517,10.29402122333867,21.48220587997381,1.838114677885424,0.112,2.214000453463146,2.473060712099518
2,48,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,6.21959833757639,61.2489579255531,32.989777053461,3.27101512550831,19.43606120188241,41.043063258345,20.2058946672081,37.48348962689965,1.021190178076006,0.2463622694712414,18.65879501272917,9.18590418729472,17.04055920260478,0.4642484427099491,0.112,2.596364104336582,2.855424362972955
2,49,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,7.43884704133491,58.9378117833363,32.7604370491995,4.80570544287593,10.07884557894931,39.62952705588073,19.30828472745558,39.08886040257153,1.774439150943361,0.1988886631488055,22.31654112400473,10.87305759532937,22.01207598148767,0.9992383766839655,0.112,2.968223947432191,3.227284206068563
2,50,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,7.27143526138994,63.0525857085804,32.643700031394,7.12753648435086,8.280074611120341,42.46988876783382,20.58269694074659,34.31397385777441,2.415389600899962,0.2180508327452332,21.81430578416983,10.57213140780364,17.62508780033425,1.24064481614189,0.112,2.21396973102501,2.473029989661383
2,51,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.88726472598796,64.5172721420395,33.4809829203319,6.8057805763113,7.465442035467476,42.91625527549921,21.6010168665403,33.06785125745802,2.234595387663895,0.1802812128385797,26.66179417796387,13.41966725739037,20.54345698323779,1.38824606001762,0.112,2.979718326857927,3.238778585494299
2,52,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,4.05468548919065,55.7493911552184,33.2009116653824,2.23264478481454,34.70654455020227,37.24008504378583,18.50930611143257,43.26264993415991,0.6450725111690855,0.3428863994526127,12.16405646757195,6.045857426220093,14.13125980021716,0.2107057070979636,0.112,2.853993121214372,3.113053379850744
2,53,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.49309516321997,57.2255122291784,42.1694793211538,6.89664568984408,4.931225199976085,33.09381168327067,24.13170054590773,39.82448290362234,2.8045334837874,0.1454713834118505,25.47928548965991,18.57925866759505,30.66130245409043,2.159240826732942,0.112,3.063139934996999,3.322200193633371
